player 1, player 2, wins, losses, draws, performance player 1, performance player 2
ql_player, dummy, 87, 12, 1, 0.88, 0.13
dummy, ql_player, 79, 21, 0, 0.79, 0.21
wolf_player, dummy, 87, 11, 2, 0.89, 0.13
dummy, wolf_player, 81, 19, 0, 0.81, 0.19
dual_1_player, dummy, 60, 22, 18, 0.78, 0.4
dummy, dual_1_player, 74, 21, 5, 0.79, 0.26
dual_2_player, dummy, 58, 25, 17, 0.75, 0.42
dummy, dual_2_player, 76, 14, 10, 0.86, 0.24
ql_player, wolf_player, 90, 2, 8, 0.98, 0.1
wolf_player, ql_player, 93, 0, 7, 1.0, 0.07
ql_player, dual_1_player, 72, 9, 19, 0.91, 0.28
dual_1_player, ql_player, 47, 13, 40, 0.87, 0.53
ql_player, dual_2_player, 70, 11, 19, 0.89, 0.3
dual_2_player, ql_player, 45, 13, 42, 0.87, 0.55
wolf_player, dual_1_player, 62, 15, 23, 0.85, 0.38
dual_1_player, wolf_player, 49, 13, 38, 0.87, 0.51
wolf_player, dual_2_player, 68, 8, 24, 0.92, 0.32
dual_2_player, wolf_player, 34, 18, 48, 0.82, 0.66
dual_1_player, dual_2_player, 50, 19, 31, 0.81, 0.5
dual_2_player, dual_1_player, 47, 21, 32, 0.79, 0.53
