# episode, # turns, reward
0.0, 5.0, -0.2
1.0, 4.0, -0.16
2.0, 6.0, -0.24000000000000002
3.0, 4.0, -0.16
4.0, 5.0, 0.84
5.0, 3.0, -0.12
6.0, 3.0, -0.12
7.0, 6.0, -0.24000000000000002
8.0, 2.0, -0.08
9.0, 3.0, 0.92
10.0, 9.0, -0.36
11.0, 12.0, -0.4799999999999999
12.0, 4.0, -0.16
13.0, 12.0, -0.4799999999999999
14.0, 7.0, 0.76
15.0, 8.0, -0.32
16.0, 5.0, -0.2
17.0, 6.0, -0.24000000000000002
18.0, 6.0, -0.24000000000000002
19.0, 6.0, -0.24000000000000002
20.0, 20.0, 0.23999999999999988
21.0, 5.0, -0.2
22.0, 5.0, -0.2
23.0, 3.0, -0.12
24.0, 12.0, -0.4799999999999999
25.0, 29.0, -1.1600000000000004
26.0, 15.0, -0.6
27.0, 4.0, 0.88
28.0, 5.0, 0.84
29.0, 12.0, -0.4799999999999999
30.0, 5.0, -0.2
31.0, 5.0, 0.84
32.0, 5.0, 0.84
33.0, 12.0, -0.4799999999999999
34.0, 7.0, -0.28
35.0, 4.0, -0.16
36.0, 4.0, -0.16
37.0, 10.0, -0.39999999999999997
38.0, 5.0, -0.2
39.0, 14.0, -0.5599999999999999
40.0, 4.0, -0.16
41.0, 4.0, -0.16
42.0, 2.0, -0.08
43.0, 5.0, -0.2
44.0, 8.0, -0.32
45.0, 16.0, -0.64
46.0, 16.0, -0.64
47.0, 19.0, -0.7600000000000001
48.0, 6.0, 0.8
49.0, 5.0, -0.2
50.0, 4.0, -0.16
51.0, 5.0, -0.2
52.0, 16.0, -0.64
53.0, 6.0, -0.24000000000000002
54.0, 7.0, 0.76
55.0, 4.0, -0.16
56.0, 23.0, -0.9200000000000003
57.0, 10.0, -0.39999999999999997
58.0, 4.0, -0.16
59.0, 11.0, 0.6000000000000001
60.0, 36.0, -1.4400000000000006
61.0, 8.0, -0.32
62.0, 3.0, -0.12
63.0, 5.0, -0.2
64.0, 4.0, -0.16
65.0, 9.0, -0.36
66.0, 11.0, 0.6000000000000001
67.0, 3.0, -0.12
68.0, 3.0, -0.12
69.0, 27.0, -1.0800000000000003
70.0, 6.0, -0.24000000000000002
71.0, 3.0, -0.12
72.0, 13.0, 0.52
73.0, 9.0, 0.6799999999999999
74.0, 10.0, -0.39999999999999997
75.0, 3.0, -0.12
76.0, 3.0, -0.12
77.0, 9.0, -0.36
78.0, 6.0, -0.24000000000000002
79.0, 28.0, -1.1200000000000003
80.0, 14.0, -0.5599999999999999
81.0, 8.0, -0.32
82.0, 7.0, -0.28
83.0, 5.0, -0.2
84.0, 5.0, -0.2
85.0, 11.0, 0.6000000000000001
86.0, 17.0, -0.68
87.0, 4.0, -0.16
88.0, 7.0, -0.28
89.0, 3.0, -0.12
90.0, 6.0, -0.24000000000000002
91.0, 9.0, 0.6799999999999999
92.0, 7.0, -0.28
93.0, 8.0, -0.32
94.0, 13.0, -0.5199999999999999
95.0, 9.0, -0.36
96.0, 4.0, 0.88
97.0, 3.0, 0.92
98.0, 25.0, 0.0399999999999997
99.0, 6.0, -0.24000000000000002
100.0, 16.0, -0.64
101.0, 6.0, -0.24000000000000002
102.0, 6.0, -0.24000000000000002
103.0, 6.0, -0.24000000000000002
104.0, 4.0, -0.16
105.0, 15.0, -0.6
106.0, 7.0, -0.28
107.0, 12.0, -0.4799999999999999
108.0, 4.0, -0.16
109.0, 3.0, -0.12
110.0, 3.0, 0.92
111.0, 9.0, 0.6799999999999999
112.0, 19.0, -0.7600000000000001
113.0, 7.0, -0.28
114.0, 15.0, 0.44000000000000006
115.0, 20.0, 0.23999999999999988
116.0, 7.0, -0.28
117.0, 3.0, -0.12
118.0, 4.0, 0.88
119.0, 3.0, -0.12
120.0, 9.0, 0.6799999999999999
121.0, 11.0, -0.43999999999999995
122.0, 7.0, 0.76
123.0, 10.0, -0.39999999999999997
124.0, 6.0, -0.24000000000000002
125.0, 3.0, -0.12
126.0, 10.0, -0.39999999999999997
127.0, 5.0, -0.2
128.0, 4.0, -0.16
129.0, 7.0, -0.28
130.0, 8.0, -0.32
131.0, 4.0, -0.16
132.0, 6.0, -0.24000000000000002
