# episode, # turns, reward
0.0, 8.0, -0.64
1.0, 15.0, -1.2000000000000004
2.0, 11.0, -0.8800000000000002
3.0, 6.0, -0.4799999999999999
4.0, 7.0, -0.5599999999999999
5.0, 5.0, 1.68
6.0, 11.0, 1.1999999999999997
7.0, 14.0, 0.9599999999999997
8.0, 3.0, -0.24000000000000002
9.0, 10.0, -0.8000000000000002
10.0, 11.0, -0.8800000000000002
11.0, 4.0, -0.32
12.0, 6.0, -0.4799999999999999
13.0, 3.0, -0.24000000000000002
14.0, 9.0, 1.3599999999999999
15.0, 8.0, -0.64
16.0, 5.0, -0.39999999999999997
17.0, 7.0, 1.52
18.0, 3.0, -0.24000000000000002
19.0, 5.0, 1.68
20.0, 3.0, -0.24000000000000002
21.0, 10.0, 1.2799999999999998
22.0, 7.0, -0.5599999999999999
23.0, 3.0, -0.24000000000000002
24.0, 7.0, -0.5599999999999999
25.0, 5.0, 1.68
26.0, 6.0, -0.4799999999999999
27.0, 3.0, -0.24000000000000002
28.0, 5.0, -0.39999999999999997
29.0, 6.0, -0.4799999999999999
30.0, 6.0, -0.4799999999999999
31.0, 5.0, -0.39999999999999997
32.0, 8.0, -0.64
33.0, 6.0, 1.6
34.0, 7.0, -0.5599999999999999
35.0, 8.0, -0.64
36.0, 3.0, -0.24000000000000002
37.0, 21.0, -1.6800000000000008
38.0, 4.0, -0.32
39.0, 11.0, -0.8800000000000002
40.0, 4.0, -0.32
41.0, 7.0, -0.5599999999999999
42.0, 5.0, -0.39999999999999997
43.0, 4.0, -0.32
44.0, 16.0, -1.2800000000000005
45.0, 7.0, 1.52
46.0, 7.0, 1.52
47.0, 12.0, -0.9600000000000003
48.0, 7.0, 1.52
49.0, 14.0, 0.9599999999999997
50.0, 7.0, 1.52
51.0, 8.0, -0.64
52.0, 12.0, -0.9600000000000003
53.0, 7.0, -0.5599999999999999
54.0, 5.0, 1.68
55.0, 7.0, 1.52
56.0, 5.0, 1.68
57.0, 8.0, 1.44
58.0, 4.0, -0.32
59.0, 4.0, 1.76
60.0, 11.0, -0.8800000000000002
61.0, 13.0, 1.0399999999999996
62.0, 7.0, -0.5599999999999999
63.0, 5.0, 1.68
64.0, 9.0, 1.3599999999999999
65.0, 9.0, -0.7200000000000001
66.0, 5.0, 1.68
67.0, 8.0, -0.64
68.0, 5.0, -0.39999999999999997
69.0, 6.0, -0.4799999999999999
70.0, 5.0, 1.68
71.0, 7.0, 1.52
72.0, 6.0, -0.4799999999999999
73.0, 5.0, -0.39999999999999997
74.0, 10.0, 1.2799999999999998
75.0, 6.0, -0.4799999999999999
76.0, 6.0, -0.4799999999999999
77.0, 6.0, -0.4799999999999999
78.0, 3.0, -0.24000000000000002
79.0, 4.0, -0.32
80.0, 7.0, -0.5599999999999999
81.0, 4.0, 1.76
82.0, 4.0, -0.32
83.0, 11.0, -0.8800000000000002
84.0, 10.0, -0.8000000000000002
85.0, 12.0, 1.1199999999999997
86.0, 5.0, -0.39999999999999997
87.0, 4.0, -0.32
88.0, 7.0, 1.52
89.0, 15.0, 0.8799999999999997
90.0, 8.0, -0.64
91.0, 5.0, -0.39999999999999997
92.0, 4.0, -0.32
93.0, 5.0, 1.68
94.0, 5.0, -0.39999999999999997
95.0, 6.0, -0.4799999999999999
96.0, 6.0, 1.6
97.0, 3.0, -0.24000000000000002
98.0, 15.0, -1.2000000000000004
99.0, 17.0, 0.7199999999999995
100.0, 6.0, -0.4799999999999999
101.0, 4.0, -0.32
102.0, 4.0, -0.32
103.0, 5.0, -0.39999999999999997
104.0, 20.0, 0.4799999999999993
105.0, 8.0, -0.64
106.0, 7.0, -0.5599999999999999
107.0, 7.0, -0.5599999999999999
108.0, 5.0, 1.68
109.0, 8.0, -0.64
110.0, 8.0, -0.64
111.0, 5.0, -0.39999999999999997
112.0, 5.0, -0.39999999999999997
113.0, 8.0, -0.64
114.0, 4.0, -0.32
115.0, 7.0, -0.5599999999999999
116.0, 6.0, -0.4799999999999999
117.0, 6.0, -0.4799999999999999
118.0, 6.0, -0.4799999999999999
119.0, 7.0, -0.5599999999999999
120.0, 12.0, 1.1199999999999997
121.0, 4.0, -0.32
122.0, 12.0, -0.9600000000000003
123.0, 6.0, -0.4799999999999999
124.0, 7.0, -0.5599999999999999
125.0, 14.0, -1.1200000000000003
126.0, 3.0, -0.24000000000000002
127.0, 7.0, -0.5599999999999999
128.0, 4.0, 1.76
129.0, 4.0, -0.32
130.0, 7.0, -0.5599999999999999
131.0, 5.0, 1.68
132.0, 5.0, -0.39999999999999997
133.0, 6.0, -0.4799999999999999
134.0, 7.0, -0.5599999999999999
135.0, 6.0, -0.4799999999999999
136.0, 6.0, -0.4799999999999999
137.0, 5.0, -0.39999999999999997
138.0, 7.0, 1.52
139.0, 13.0, -1.0400000000000003
140.0, 6.0, 1.6
141.0, 12.0, 1.1199999999999997
142.0, 7.0, -0.5599999999999999
143.0, 7.0, -0.5599999999999999
144.0, 6.0, 1.6
145.0, 8.0, -0.64
146.0, 9.0, -0.7200000000000001
147.0, 10.0, 1.2799999999999998
148.0, 9.0, -0.7200000000000001
149.0, 8.0, 1.44
150.0, 14.0, -1.1200000000000003
151.0, 5.0, 1.68
152.0, 5.0, 1.68
153.0, 5.0, 1.68
154.0, 6.0, -0.4799999999999999
155.0, 3.0, -0.24000000000000002
156.0, 8.0, -0.64
157.0, 6.0, -0.4799999999999999
158.0, 4.0, 1.76
159.0, 6.0, -0.4799999999999999
160.0, 5.0, 1.68
161.0, 7.0, -0.5599999999999999
162.0, 4.0, -0.32
163.0, 4.0, -0.32
164.0, 4.0, -0.32
165.0, 7.0, 1.52
166.0, 3.0, -0.24000000000000002
167.0, 6.0, -0.4799999999999999
168.0, 12.0, -0.9600000000000003
169.0, 4.0, -0.32
170.0, 5.0, -0.39999999999999997
171.0, 6.0, -0.4799999999999999
172.0, 13.0, 1.0399999999999996
173.0, 7.0, 1.52
174.0, 6.0, -0.4799999999999999
175.0, 12.0, 1.1199999999999997
176.0, 4.0, -0.32
177.0, 7.0, -0.5599999999999999
178.0, 5.0, -0.39999999999999997
179.0, 11.0, 1.1999999999999997
180.0, 4.0, -0.32
181.0, 4.0, -0.32
182.0, 8.0, -0.64
183.0, 9.0, 1.3599999999999999
184.0, 8.0, 1.44
185.0, 6.0, -0.4799999999999999
186.0, 5.0, -0.39999999999999997
187.0, 4.0, -0.32
188.0, 4.0, -0.32
189.0, 5.0, 1.68
190.0, 4.0, -0.32
191.0, 6.0, -0.4799999999999999
192.0, 8.0, 1.44
193.0, 11.0, 1.1999999999999997
194.0, 3.0, -0.24000000000000002
195.0, 9.0, -0.7200000000000001
196.0, 6.0, -0.4799999999999999
197.0, 4.0, -0.32
198.0, 7.0, -0.5599999999999999
199.0, 5.0, -0.39999999999999997
200.0, 4.0, -0.32
201.0, 6.0, -0.4799999999999999
202.0, 5.0, -0.39999999999999997
203.0, 4.0, -0.32
204.0, 5.0, -0.39999999999999997
205.0, 13.0, 1.0399999999999996
206.0, 3.0, -0.24000000000000002
207.0, 3.0, -0.24000000000000002
208.0, 6.0, -0.4799999999999999
209.0, 10.0, -0.8000000000000002
210.0, 4.0, 1.76
211.0, 6.0, -0.4799999999999999
212.0, 10.0, -0.8000000000000002
213.0, 5.0, 1.68
214.0, 3.0, -0.24000000000000002
215.0, 6.0, -0.4799999999999999
216.0, 14.0, -1.1200000000000003
217.0, 5.0, -0.39999999999999997
218.0, 13.0, -1.0400000000000003
219.0, 8.0, -0.64
220.0, 5.0, 1.68
221.0, 7.0, 1.52
222.0, 5.0, -0.39999999999999997
223.0, 11.0, -0.8800000000000002
224.0, 8.0, -0.64
225.0, 4.0, -0.32
226.0, 11.0, -0.8800000000000002
227.0, 4.0, -0.32
228.0, 9.0, -0.7200000000000001
229.0, 5.0, -0.39999999999999997
230.0, 5.0, -0.39999999999999997
231.0, 8.0, -0.64
232.0, 4.0, -0.32
233.0, 8.0, -0.64
234.0, 5.0, -0.39999999999999997
235.0, 6.0, -0.4799999999999999
