# AI L, AI R, O L, O R, swap, L L, L R, R R, R L
0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0
0.0, 0.0, 0.0, 2.0, 0.0, 0.0, 0.0, 0.0, 0.0
0.0, 0.0, 0.0, 3.0, 0.0, 0.0, 0.0, 0.0, 0.0
0.0, 0.0, 0.0, 4.0, 0.0, 0.0, 0.0, 0.0, 0.0
0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
0.0, 0.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0
0.0, 0.0, 1.0, 2.0, 0.0, 0.0, 0.0, 0.0, 0.0
0.0, 0.0, 1.0, 3.0, 0.0, 0.0, 0.0, 0.0, 0.0
0.0, 0.0, 1.0, 4.0, 0.0, 0.0, 0.0, 0.0, 0.0
0.0, 0.0, 2.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
0.0, 0.0, 2.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0
0.0, 0.0, 2.0, 2.0, 0.0, 0.0, 0.0, 0.0, 0.0
0.0, 0.0, 2.0, 3.0, 0.0, 0.0, 0.0, 0.0, 0.0
0.0, 0.0, 2.0, 4.0, 0.0, 0.0, 0.0, 0.0, 0.0
0.0, 0.0, 3.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
0.0, 0.0, 3.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0
0.0, 0.0, 3.0, 2.0, 0.0, 0.0, 0.0, 0.0, 0.0
0.0, 0.0, 3.0, 3.0, 0.0, 0.0, 0.0, 0.0, 0.0
0.0, 0.0, 3.0, 4.0, 0.0, 0.0, 0.0, 0.0, 0.0
0.0, 0.0, 4.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
0.0, 0.0, 4.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0
0.0, 0.0, 4.0, 2.0, 0.0, 0.0, 0.0, 0.0, 0.0
0.0, 0.0, 4.0, 3.0, 0.0, 0.0, 0.0, 0.0, 0.0
0.0, 0.0, 4.0, 4.0, 0.0, 0.0, 0.0, 0.0, 0.0
0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
0.0, 1.0, 0.0, 1.0, 0.0, 2.111492900818652, 0.0, 12.673485861215715, 0.0
0.0, 1.0, 0.0, 2.0, -0.6892968295869338, -49.446945792052496, 36.38461418000136, -33.50378023823524, 0.0
0.0, 1.0, 0.0, 3.0, 1.9016769957757298, -0.000996039909289407, 0.0, -9.966702462416752, 0.0
0.0, 1.0, 0.0, 4.0, -11.864492355650285, -73.84298643371459, -13.103510000000002, 68.42102427785855, -13.21043
0.0, 1.0, 1.0, 0.0, 0.0, 0.0, 2.111492900818652, 0.0, 12.673485861215715
0.0, 1.0, 1.0, 1.0, 0.0, 0.9109952129473494, 0.7198956916526145, 0.7324182719273509, 0.9249091910303898
0.0, 1.0, 1.0, 2.0, 0.0, -20.1362963, 0.12119024764584517, -1.1353571287381365, 1.0134865341257513
0.0, 1.0, 1.0, 3.0, -10.437306141339109, -25.067192256433668, -26.136126146127236, -45.502596002508255, -25.59053938652739
0.0, 1.0, 1.0, 4.0, -23.444024401000007, -34.049539, -22.01872824327726, -36.14294537200001, -11.17929665941592
0.0, 1.0, 2.0, 0.0, -0.6892968295869338, 36.38461418000136, -49.446945792052496, 0.0, -33.50378023823524
0.0, 1.0, 2.0, 1.0, 0.0, 0.12119024764584517, -20.1362963, 1.0134865341257513, -1.1353571287381365
0.0, 1.0, 2.0, 2.0, -18.8119, -32.44896736732362, -32.44896736732362, 2.349341328502729, 2.349341328502729
0.0, 1.0, 2.0, 3.0, 0.0, 1.60515030471646, -47.71664979002163, -28.69578567990249, -35.05030828521149
0.0, 1.0, 2.0, 4.0, -1.8161046666561336, -34.049539, -23.14438776232123, -43.10408393811825, -25.336750541
0.0, 1.0, 3.0, 0.0, 1.9016769957757298, 0.0, -0.000996039909289407, 0.0, -9.966702462416752
0.0, 1.0, 3.0, 1.0, -10.437306141339109, -26.136126146127236, -25.067192256433668, -25.59053938652739, -45.502596002508255
0.0, 1.0, 3.0, 2.0, 0.0, -47.71664979002163, 1.60515030471646, -35.05030828521149, -28.69578567990249
0.0, 1.0, 3.0, 3.0, -9.564130000000002, 1.8295582480250203, 1.8436024232225183, -37.047855590396075, -37.047855590396075
0.0, 1.0, 3.0, 4.0, -47.18824041259901, -43.38111808000001, -26.548476365890867, -50.58797903824721, -42.159458820322435
0.0, 1.0, 4.0, 0.0, -11.864492355650285, -13.103510000000002, -73.84298643371459, -13.21043, 68.42102427785855
0.0, 1.0, 4.0, 1.0, -23.444024401000007, -22.01872824327726, -34.049539, -11.17929665941592, -36.14294537200001
0.0, 1.0, 4.0, 2.0, -1.8161046666561336, -23.14438776232123, -34.049539, -25.336750541, -43.10408393811825
0.0, 1.0, 4.0, 3.0, -47.18824041259901, -26.548476365890867, -43.38111808000001, -42.159458820322435, -50.58797903824721
0.0, 1.0, 4.0, 4.0, -42.27304579895415, -21.012728370731324, -41.890893082640055, -58.48033997052492, -53.28233997052492
0.0, 2.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
0.0, 2.0, 0.0, 1.0, 1.1847763180839224, 17.363458472642378, 0.0, -10.924758208454229, 0.0
0.0, 2.0, 0.0, 2.0, 0.33466420699999994, 0.0, 0.0, 49.39866047076386, 0.0
0.0, 2.0, 0.0, 3.0, 1.1691893326822442, -64.48734764569902, 0.0, 71.10671080310155, 0.0
0.0, 2.0, 0.0, 4.0, 1.0138237882052406, -12.63722, 0.0, -4.45205585233, 0.0
0.0, 2.0, 1.0, 0.0, 1.1847763180839224, 0.0, 17.363458472642378, 0.0, -10.924758208454229
0.0, 2.0, 1.0, 1.0, 1.7629022482134227, -0.19, -0.271, -29.236275161343418, -21.517524226808533
0.0, 2.0, 1.0, 2.0, 0.11271598715191763, -4.8020000000000005, -4.91261, -0.36960468580000005, -28.381936713800002
0.0, 2.0, 1.0, 3.0, 0.5698174948062482, -18.8119, -4.9018999999999995, -30.98663659000001, -13.220584093000001
0.0, 2.0, 1.0, 4.0, 2.2319049118381824, -12.994610000000002, 0.19529, -8.508979, -2.2523422600000007
0.0, 2.0, 2.0, 0.0, 0.33466420699999994, 0.0, 0.0, 0.0, 49.39866047076386
0.0, 2.0, 2.0, 1.0, 0.11271598715191763, -4.91261, -4.8020000000000005, -28.381936713800002, -0.36960468580000005
0.0, 2.0, 2.0, 2.0, 1.5256362734202367, 2.3320864589329604, 2.43108645893296, 0.04372291221668176, 0.04372291221668176
0.0, 2.0, 2.0, 3.0, 1.0535785421138584, -9.901000000000002, 0.0, 0.26436278239999994, -25.019536406900002
0.0, 2.0, 2.0, 4.0, 1.8586598696180037, -13.0285463, -0.34455610000000003, -3.2905873, -0.6485321323792002
0.0, 2.0, 3.0, 0.0, 1.1691893326822442, 0.0, -64.48734764569902, 0.0, 71.10671080310155
0.0, 2.0, 3.0, 1.0, 0.5698174948062482, -4.9018999999999995, -18.8119, -13.220584093000001, -30.98663659000001
0.0, 2.0, 3.0, 2.0, 1.0535785421138584, 0.0, -9.901000000000002, -25.019536406900002, 0.26436278239999994
0.0, 2.0, 3.0, 3.0, 0.5116072935498652, -26.83171, -26.83171, -26.31004808, -26.31004808
0.0, 2.0, 3.0, 4.0, 1.5173191335949063, -16.56833, -56.38944153790001, -17.050658, -39.0396122273366
0.0, 2.0, 4.0, 0.0, 1.0138237882052406, 0.0, -12.63722, 0.0, -4.45205585233
0.0, 2.0, 4.0, 1.0, 2.2319049118381824, 0.19529, -12.994610000000002, -2.2523422600000007, -8.508979
0.0, 2.0, 4.0, 2.0, 1.8586598696180037, -0.34455610000000003, -13.0285463, -0.6485321323792002, -3.2905873
0.0, 2.0, 4.0, 3.0, 1.5173191335949063, -56.38944153790001, -16.56833, -39.0396122273366, -17.050658
0.0, 2.0, 4.0, 4.0, 2.194783537273411, -22.59526298, -22.59526298, -12.222829, -12.222829
0.0, 3.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
0.0, 3.0, 0.0, 1.0, 0.0, -41.624719350427455, 0.0, -5.302118245423398, 18.247781595785643
0.0, 3.0, 0.0, 2.0, 0.8597327025181716, -67.93961288112912, -4.8020000000000005, 8.221125108457207, -4.901
0.0, 3.0, 0.0, 3.0, 0.0, 1.3138172522, 0.0, 26.44908322944171, 0.0
0.0, 3.0, 0.0, 4.0, -34.271115567089, 49.99973571827492, 0.0, -38.37081877925341, 0.0
0.0, 3.0, 1.0, 0.0, 0.0, 0.0, -41.624719350427455, 18.247781595785643, -5.302118245423398
0.0, 3.0, 1.0, 1.0, 2.9755983897197287, -17.195, -17.195, -5.236560997171834, -4.44561489745465
0.0, 3.0, 1.0, 2.0, 1.208329491540485, -4.703, -16.711187000000002, -20.92519775490991, -31.02913223564
0.0, 3.0, 1.0, 3.0, -0.1, 0.34809175419258254, -23.166690980000002, -0.6354097009141932, -4.71736619209927
0.0, 3.0, 1.0, 4.0, -5.0, 1.397904788888161, -5.0, -24.32171159971131, -19.059725091530684
0.0, 3.0, 2.0, 0.0, 0.8597327025181716, -4.8020000000000005, -67.93961288112912, -4.901, 8.221125108457207
0.0, 3.0, 2.0, 1.0, 1.208329491540485, -16.711187000000002, -4.703, -31.02913223564, -20.92519775490991
0.0, 3.0, 2.0, 2.0, 1.8394515905697313, -34.049539, -40.545585100000004, -53.73609603808494, -52.71329879084881
0.0, 3.0, 2.0, 3.0, -0.5752073923867905, -2.279297765965384, -40.545585100000004, -3.948274690730581, -40.73153929480901
0.0, 3.0, 2.0, 4.0, -6.125926196610372, -10.779152942583497, -34.049539, -19.855850000000004, -14.027255010537214
0.0, 3.0, 3.0, 0.0, 0.0, 0.0, 1.3138172522, 0.0, 26.44908322944171
0.0, 3.0, 3.0, 1.0, -0.1, -23.166690980000002, 0.34809175419258254, -4.71736619209927, -0.6354097009141932
0.0, 3.0, 3.0, 2.0, -0.5752073923867905, -40.545585100000004, -2.279297765965384, -40.73153929480901, -3.948274690730581
0.0, 3.0, 3.0, 3.0, 0.0, 1.4790609209611922, 1.4790609209611922, 0.0, 0.0
0.0, 3.0, 3.0, 4.0, -38.5616037725195, -41.83899053182916, -38.95384576232814, -42.89976900835302, -12.422514012440624
0.0, 3.0, 4.0, 0.0, -34.271115567089, 0.0, 49.99973571827492, 0.0, -38.37081877925341
0.0, 3.0, 4.0, 1.0, -5.0, -5.0, 1.397904788888161, -19.059725091530684, -24.32171159971131
0.0, 3.0, 4.0, 2.0, -6.125926196610372, -34.049539, -10.779152942583497, -14.027255010537214, -19.855850000000004
