# AI L, AI R, O L, O R, swap, L L, L R, R R, R L
0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0
0.0, 0.0, 0.0, 2.0, 0.0, 0.0, 0.0, 0.0, 0.0
0.0, 0.0, 0.0, 3.0, 0.0, 0.0, 0.0, 0.0, 0.0
0.0, 0.0, 0.0, 4.0, 0.0, 0.0, 0.0, 0.0, 0.0
0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
0.0, 0.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0
0.0, 0.0, 1.0, 2.0, 0.0, 0.0, 0.0, 0.0, 0.0
0.0, 0.0, 1.0, 3.0, 0.0, 0.0, 0.0, 0.0, 0.0
0.0, 0.0, 1.0, 4.0, 0.0, 0.0, 0.0, 0.0, 0.0
0.0, 0.0, 2.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
0.0, 0.0, 2.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0
0.0, 0.0, 2.0, 2.0, 0.0, 0.0, 0.0, 0.0, 0.0
0.0, 0.0, 2.0, 3.0, 0.0, 0.0, 0.0, 0.0, 0.0
0.0, 0.0, 2.0, 4.0, 0.0, 0.0, 0.0, 0.0, 0.0
0.0, 0.0, 3.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
0.0, 0.0, 3.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0
0.0, 0.0, 3.0, 2.0, 0.0, 0.0, 0.0, 0.0, 0.0
0.0, 0.0, 3.0, 3.0, 0.0, 0.0, 0.0, 0.0, 0.0
0.0, 0.0, 3.0, 4.0, 0.0, 0.0, 0.0, 0.0, 0.0
0.0, 0.0, 4.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
0.0, 0.0, 4.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0
0.0, 0.0, 4.0, 2.0, 0.0, 0.0, 0.0, 0.0, 0.0
0.0, 0.0, 4.0, 3.0, 0.0, 0.0, 0.0, 0.0, 0.0
0.0, 0.0, 4.0, 4.0, 0.0, 0.0, 0.0, 0.0, 0.0
0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
0.0, 1.0, 0.0, 1.0, 0.0, 1.41772223456, 0.0, 34.184506405479084, 0.0
0.0, 1.0, 0.0, 2.0, 0.22862993806904092, -29.151309526430005, 0.0, -17.28551709640537, 2.568510647044112
0.0, 1.0, 0.0, 3.0, 0.0, 6.473880116989889, 0.0, -9.316887281673488, 0.0
0.0, 1.0, 0.0, 4.0, -16.836986239051946, -59.40600000000001, -17.37820073822, 218.12104190233475, -16.9133873
0.0, 1.0, 1.0, 0.0, 0.0, 0.0, 1.41772223456, 0.0, 34.184506405479084
0.0, 1.0, 1.0, 1.0, 0.0, 0.7870424783276245, 0.7870424783276245, 0.5239718097831227, 0.4414466787445961
0.0, 1.0, 1.0, 2.0, 0.0, -20.345592200000002, 0.11626492039999999, -1.110670725462804, 2.652162455572903
0.0, 1.0, 1.0, 3.0, -16.745339, -0.4804096581511775, -17.615243222757233, -46.39423352622273, -13.806437856929568
0.0, 1.0, 1.0, 4.0, -1.1880279847190998, -49.50500000000001, -12.663755490382181, -59.506000000000014, -11.753240801
0.0, 1.0, 2.0, 0.0, 0.22862993806904092, 0.0, -29.151309526430005, 2.568510647044112, -17.28551709640537
0.0, 1.0, 2.0, 1.0, 0.0, 0.11626492039999999, -20.345592200000002, 2.652162455572903, -1.110670725462804
0.0, 1.0, 2.0, 2.0, -18.515900000000002, -45.07614548908195, -45.07614548908195, 1.0592002449799067, 1.0847508372350316
0.0, 1.0, 2.0, 3.0, -9.901000000000002, 1.4988828339895734, -49.94558352387677, -27.785602472048325, -39.27407881421903
0.0, 1.0, 2.0, 4.0, -34.459023987929, -34.317800000000005, -35.48050559435326, 10.109959705234294, -41.61928467088574
0.0, 1.0, 3.0, 0.0, 0.0, 0.0, 6.473880116989889, 0.0, -9.316887281673488
0.0, 1.0, 3.0, 1.0, -16.745339, -17.615243222757233, -0.4804096581511775, -13.806437856929568, -46.39423352622273
0.0, 1.0, 3.0, 2.0, -9.901000000000002, -49.94558352387677, 1.4988828339895734, -39.27407881421903, -27.785602472048325
0.0, 1.0, 3.0, 3.0, -8.779020403700002, 1.8961681492800002, 2.08426814928, -18.660958369987462, -18.660958369987462
0.0, 1.0, 3.0, 4.0, -38.614900000000006, -99.01, -28.84850116514194, -54.43496708454012, -32.6664034436295
0.0, 1.0, 4.0, 0.0, -16.836986239051946, -17.37820073822, -59.40600000000001, -16.9133873, 218.12104190233475
0.0, 1.0, 4.0, 1.0, -1.1880279847190998, -12.663755490382181, -49.50500000000001, -11.753240801, -59.506000000000014
0.0, 1.0, 4.0, 2.0, -34.459023987929, -35.48050559435326, -34.317800000000005, -41.61928467088574, 10.109959705234294
0.0, 1.0, 4.0, 3.0, -38.614900000000006, -28.84850116514194, -99.01, -32.6664034436295, -54.43496708454012
0.0, 1.0, 4.0, 4.0, -49.308000000000014, -29.114537671625545, -39.015537671625545, -66.36415210000001, -46.620169000000004
0.0, 2.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
0.0, 2.0, 0.0, 1.0, 0.8394352799029999, 13.310845645040835, 0.0, 3.019181599872004, 0.0
0.0, 2.0, 0.0, 2.0, -0.16001927200000002, 0.26558000000000004, 0.0, 45.354327853320264, 0.0
0.0, 2.0, 0.0, 3.0, 0.9843023717044874, -79.20800000000001, 0.0, 315.18317117663696, 0.0
0.0, 2.0, 0.0, 4.0, 0.5439563207594145, -4.604, 52.93856575016615, -15.785307545719055, 0.0
0.0, 2.0, 1.0, 0.0, 0.8394352799029999, 0.0, 13.310845645040835, 0.0, 3.019181599872004
0.0, 2.0, 1.0, 1.0, 3.0991257346373757, 0.0872, -0.34390000000000004, -38.89162456631717, -38.89162456631717
0.0, 2.0, 1.0, 2.0, -0.2349606092367914, -20.136920000000003, -16.88446787, -21.4756705769, -34.228499313299
0.0, 2.0, 1.0, 3.0, 0.03054066000709406, -59.40600000000001, -3.86680969, -19.480660750000006, -19.38232688
0.0, 2.0, 1.0, 4.0, -0.1, -27.602307961700003, 1.6472741984441324, -10.374703352020001, -12.500561053440098
0.0, 2.0, 2.0, 0.0, -0.16001927200000002, 0.0, 0.26558000000000004, 0.0, 45.354327853320264
0.0, 2.0, 2.0, 1.0, -0.2349606092367914, -16.88446787, -20.136920000000003, -34.228499313299, -21.4756705769
0.0, 2.0, 2.0, 2.0, 0.8262522472223621, 1.6066381797943783, 1.5439743618149404, -0.26102812329025804, -0.26102812329025804
0.0, 2.0, 2.0, 3.0, 0.8027022584589347, -4.8020000000000005, -4.46774, -4.89381791857957, -23.546931240369698
0.0, 2.0, 2.0, 4.0, 1.8864673523648579, -4.8020000000000005, 0.0, -11.617033100000002, -0.025883470000000033
0.0, 2.0, 3.0, 0.0, 0.9843023717044874, 0.0, -79.20800000000001, 0.0, 315.18317117663696
0.0, 2.0, 3.0, 1.0, 0.03054066000709406, -3.86680969, -59.40600000000001, -19.38232688, -19.480660750000006
0.0, 2.0, 3.0, 2.0, 0.8027022584589347, -4.46774, -4.8020000000000005, -23.546931240369698, -4.89381791857957
0.0, 2.0, 3.0, 3.0, -0.6130937802172529, -14.505000000000003, -24.406000000000006, -27.830625341, -27.830625341
0.0, 2.0, 3.0, 4.0, 0.5669087487558455, -13.00352, -59.40600000000001, -17.195, -14.171368000000005
0.0, 2.0, 4.0, 0.0, 0.5439563207594145, 52.93856575016615, -4.604, 0.0, -15.785307545719055
0.0, 2.0, 4.0, 1.0, -0.1, 1.6472741984441324, -27.602307961700003, -12.500561053440098, -10.374703352020001
0.0, 2.0, 4.0, 2.0, 1.8864673523648579, 0.0, -4.8020000000000005, -0.025883470000000033, -11.617033100000002
0.0, 2.0, 4.0, 3.0, 0.5669087487558455, -59.40600000000001, -13.00352, -14.171368000000005, -17.195
0.0, 2.0, 4.0, 4.0, -0.256538867905351, 1.4369333157236506, -3.4196600158487156, -30.044340138577997, -30.044340138577997
0.0, 3.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
0.0, 3.0, 0.0, 1.0, 0.0, -38.577966848597086, 41.86243912995371, -11.554923910150393, 0.0
0.0, 3.0, 0.0, 2.0, -0.19433544400000002, -39.604000000000006, 0.0, 158.4365561942873, 0.0
0.0, 3.0, 0.0, 3.0, 0.0, 1.093057520291, 0.0, 36.83084142383581, 0.0
0.0, 3.0, 0.0, 4.0, -43.23088204274064, 14.370410544997469, 0.0, -0.635343552648802, 0.19699999999999998
0.0, 3.0, 1.0, 0.0, 0.0, 41.86243912995371, -38.577966848597086, 0.0, -11.554923910150393
0.0, 3.0, 1.0, 1.0, 5.160137853652647, -39.674376146254644, -39.674376146254644, -9.008668449056453, -8.909668449056452
0.0, 3.0, 1.0, 2.0, 0.2850773722081248, -39.604000000000006, -22.881767000000004, -26.968949816000006, -38.29205801414554
0.0, 3.0, 1.0, 3.0, 0.9133586380906998, -0.004685590000000004, 0.0, -0.020347502471430468, -9.232700000000001
0.0, 3.0, 1.0, 4.0, -5.0, 0.9845795363506288, -34.3094701955, -10.100131397243329, -3.390120731821882
0.0, 3.0, 2.0, 0.0, -0.19433544400000002, 0.0, -39.604000000000006, 0.0, 158.4365561942873
0.0, 3.0, 2.0, 1.0, 0.2850773722081248, -22.881767000000004, -39.604000000000006, -38.29205801414554, -26.968949816000006
0.0, 3.0, 2.0, 2.0, 1.420053231874991, -168.31700000000004, -178.21800000000005, -80.39290800238878, -80.39290800238878
0.0, 3.0, 2.0, 3.0, -0.6034333727307206, -1.2471641651143002, -89.10900000000001, -5.868653255803751, -59.165304870000014
0.0, 3.0, 2.0, 4.0, -20.639491902377863, -21.646679399396916, -29.703000000000003, -24.268594689209046, -23.310507338013977
0.0, 3.0, 3.0, 0.0, 0.0, 0.0, 1.093057520291, 0.0, 36.83084142383581
0.0, 3.0, 3.0, 1.0, 0.9133586380906998, 0.0, -0.004685590000000004, -9.232700000000001, -0.020347502471430468
0.0, 3.0, 3.0, 2.0, -0.6034333727307206, -89.10900000000001, -1.2471641651143002, -59.165304870000014, -5.868653255803751
0.0, 3.0, 3.0, 3.0, 0.0, 1.9699999999999989, 1.9699999999999989, 0.19683137599999995, 0.19683137599999995
0.0, 3.0, 3.0, 4.0, -20.417631980000003, -19.82595254669117, -30.87057607502, -34.0908488135573, -4.688074950779592
0.0, 3.0, 4.0, 0.0, -43.23088204274064, 0.0, 14.370410544997469, 0.19699999999999998, -0.635343552648802
0.0, 3.0, 4.0, 1.0, -5.0, -34.3094701955, 0.9845795363506288, -3.390120731821882, -10.100131397243329
