# episode, exploration_rate, rewards_current_episode, step, winner
0, 1.0, -52, 2, Opponent
1, 0.9990104948350412, -102, 3, Opponent
2, 0.9980219786806598, 97, 3, AI
3, 0.9970344505483393, -52, 3, Opponent
4, 0.9960479094505515, -52, 2, Opponent
5, 0.9950623544007555, 96, 4, AI
6, 0.9940777844133959, -51, 2, Opponent
7, 0.9930941985039028, 92, 8, AI
8, 0.99211159568869, -56, 6, Opponent
9, 0.9911299749851548, 97, 3, AI
10, 0.9901493354116764, -52, 2, Opponent
11, 0.9891696759876151, -165, 17, Opponent
12, 0.9881909957333113, 92, 8, AI
13, 0.9872132936700847, 94, 6, AI
14, 0.9862365688202333, 95, 5, AI
15, 0.985260820207032, -55, 5, Opponent
16, 0.9842860468547323, -217, 21, Opponent
17, 0.9833122477885605, -59, 9, Opponent
18, 0.9823394220347178, -105, 7, Opponent
19, 0.9813675686203779, -116, 18, Opponent
20, 0.9803966865736877, -54, 4, Opponent
21, 0.979426774923765, 96, 4, AI
22, 0.978457832700698, -60, 11, Opponent
23, 0.9774898589355443, 98, 2, AI
24, 0.9765228526603302, 98, 2, AI
25, 0.9755568129080493, 93, 7, AI
26, 0.9745917387126619, -56, 6, Opponent
27, 0.9736276291090934, 96, 4, AI
28, 0.9726644831332344, -106, 7, Opponent
29, 0.9717022998219388, 94, 6, AI
30, 0.970741078213023, 96, 4, AI
31, 0.9697808173452657, 95, 5, AI
32, 0.9688215162584056, -53, 4, Opponent
33, 0.9678631739931417, -56, 6, Opponent
34, 0.9669057895911316, 97, 3, AI
35, 0.9659493620949908, -169, 21, Opponent
36, 0.9649938905482919, 86, 16, AI
37, 0.9640393739955629, 90, 10, AI
38, 0.9630858114822876, 97, 3, AI
39, 0.962133202054903, 97, 3, AI
40, 0.9611815447608, 91, 9, AI
41, 0.9602308386483209, -52, 3, Opponent
42, 0.9592810827667597, -56, 6, Opponent
43, 0.9583322761663603, -9, 11, Opponent
44, 0.9573844178983162, 97, 3, AI
45, 0.9564375070147689, 91, 9, AI
46, 0.9554915425688075, 97, 3, AI
47, 0.9545465236144673, -105, 7, Opponent
48, 0.9536024492067297, -53, 4, Opponent
49, 0.9526593184015199, 94, 6, AI
50, 0.9517171302557069, -155, 8, Opponent
51, 0.9507758838271028, 96, 4, AI
52, 0.9498355781744606, -105, 7, Opponent
53, 0.9488962123574752, -106, 7, Opponent
54, 0.9479577854367803, -56, 7, Opponent
55, 0.947020296473949, -52, 3, Opponent
56, 0.9460837445314924, 94, 6, AI
57, 0.9451481286728581, -53, 3, Opponent
58, 0.9442134479624306, -216, 19, Opponent
59, 0.9432797014655288, -56, 7, Opponent
60, 0.9423468882484062, -55, 6, Opponent
61, 0.9414150073782496, 194, 8, AI
62, 0.940484057923178, 97, 3, AI
63, 0.9395540389522419, -58, 8, Opponent
64, 0.9386249495354222, 98, 2, AI
65, 0.9376967887436294, 90, 10, AI
66, 0.9367695556487027, 90, 10, AI
67, 0.9358432493234088, 92, 8, AI
68, 0.9349178688414413, 97, 3, AI
69, 0.9339934132774199, 93, 7, AI
70, 0.9330698817068888, 96, 4, AI
71, 0.9321472732063162, -58, 9, Opponent
72, 0.9312255868530936, 97, 3, AI
73, 0.9303048217255349, -54, 5, Opponent
74, 0.9293849769028744, 92, 8, AI
75, 0.9284660514652673, -60, 10, Opponent
76, 0.9275480444937885, -117, 19, Opponent
77, 0.9266309550704304, 98, 2, AI
78, 0.9257147822781039, 95, 5, AI
79, 0.9247995252006359, 92, 8, AI
80, 0.9238851829227694, 92, 8, AI
81, 0.922971754530162, 98, 2, AI
82, 0.9220592391093853, 35, 16, AI
83, 0.9211476357479235, 96, 4, AI
84, 0.9202369435341734, -120, 21, Opponent
85, 0.9193271615574428, 97, 3, AI
86, 0.9184182889079494, -102, 3, Opponent
87, 0.9175103246768207, 45, 6, AI
88, 0.9166032679560924, 97, 3, AI
89, 0.9156971178387074, -57, 10, Opponent
90, 0.9147918734185159, 46, 5, AI
91, 0.9138875337902731, -53, 4, Opponent
92, 0.9129840980496394, -56, 6, Opponent
93, 0.9120815652931792, 97, 3, AI
94, 0.9111799346183593, -110, 12, Opponent
95, 0.9102792051235491, -55, 6, Opponent
96, 0.9093793759080191, -70, 20, Opponent
97, 0.90848044607194, 85, 15, AI
98, 0.9075824147163817, 142, 9, AI
99, 0.906685280943313, 91, 9, AI
100, 0.9057890438555999, 92, 8, AI
101, 0.9048937025570055, -65, 16, Opponent
102, 0.903999256152188, 97, 3, AI
103, 0.9031057037467013, -104, 6, Opponent
104, 0.9022130444469927, 140, 11, AI
105, 0.9013212773604029, -103, 5, Opponent
106, 0.9004304015951649, -54, 4, Opponent
107, 0.8995404162604025, 97, 3, AI
108, 0.8986513204661305, -16, 18, AI
109, 0.8977631133232531, 94, 6, AI
110, 0.896875793943563, 147, 4, AI
111, 0.8959893614397407, 94, 6, AI
112, 0.8951038149253536, -57, 10, Opponent
113, 0.8942191535148554, 148, 3, AI
114, 0.8933353763235842, 95, 5, AI
115, 0.892452482467763, 88, 12, AI
116, 0.8915704710644979, 195, 7, AI
117, 0.8906893412317772, 147, 4, AI
118, 0.8898090920884711, 97, 3, AI
119, 0.8889297227543306, -105, 6, Opponent
120, 0.888051232349986, -53, 4, Opponent
121, 0.8871736199969468, -103, 4, Opponent
122, 0.8862968848176008, -51, 2, Opponent
123, 0.8854210259352127, -109, 10, Opponent
124, 0.8845460424739234, -67, 17, Opponent
125, 0.8836719335587495, -53, 3, Opponent
126, 0.8827986983155819, 91, 9, AI
127, 0.8819263358711854, 94, 6, AI
128, 0.8810548453531973, 88, 12, AI
129, 0.8801842258901273, 92, 8, AI
130, 0.8793144766113556, 86, 17, Opponent
131, 0.8784455966471331, 97, 3, AI
132, 0.8775775851285795, 83, 17, AI
133, 0.8767104411876834, -104, 6, Opponent
134, 0.8758441639573007, -56, 7, Opponent
135, 0.8749787525711541, -56, 6, Opponent
136, 0.8741142061638321, -55, 5, Opponent
137, 0.8732505238707883, 144, 7, AI
138, 0.8723877048283404, 94, 6, AI
139, 0.871525748173669, -65, 15, Opponent
140, 0.8706646530448178, 86, 14, AI
141, 0.8698044185806911, 98, 2, AI
142, 0.8689450439210549, -56, 6, Opponent
143, 0.868086528206534, -156, 9, Opponent
144, 0.867228870578613, -4, 6, AI
145, 0.8663720701796339, 95, 5, AI
146, 0.8655161261527964, 40, 11, AI
147, 0.8646610376421562, -5, 7, Opponent
148, 0.8638068037926251, -157, 10, Opponent
149, 0.8629534237499686, -60, 10, Opponent
150, 0.8621008966608072, -4, 5, Opponent
151, 0.8612492216726134, 93, 7, AI
152, 0.8603983979337122, -57, 8, Opponent
153, 0.8595484245932798, 95, 7, AI
154, 0.8586993008013429, 95, 5, AI
155, 0.8578510257087774, 84, 18, AI
156, 0.8570035984673082, -162, 15, Opponent
157, 0.8561570182295082, -55, 6, Opponent
158, 0.8553112841487969, 94, 6, AI
159, 0.8544663953794402, 42, 9, AI
160, 0.8536223510765493, 97, 3, AI
161, 0.8527791503960795, -52, 2, Opponent
162, 0.8519367924948307, 139, 14, AI
163, 0.8510952765304444, -52, 3, Opponent
164, 0.8502546016614047, -54, 5, Opponent
165, 0.8494147670470367, -57, 7, Opponent
166, 0.8485757718475057, 93, 7, AI
167, 0.8477376152238164, -103, 5, Opponent
168, 0.8469002963378122, 94, 6, AI
169, 0.846063814352174, -217, 21, Opponent
170, 0.8452281684304199, -114, 15, Opponent
171, 0.8443933577369037, -53, 3, Opponent
172, 0.8435593814368149, 87, 13, AI
173, 0.842726238696177, -67, 18, Opponent
174, 0.8418939286818471, 92, 8, AI
175, 0.8410624505615153, -52, 2, Opponent
176, 0.8402318035037033, -103, 5, Opponent
177, 0.8394019866777639, 46, 5, AI
178, 0.8385729992538804, 136, 15, AI
179, 0.8377448404030652, 94, 6, AI
180, 0.8369175092971592, 95, 5, AI
181, 0.8360910051088316, 95, 5, AI
182, 0.835265327011578, -57, 7, Opponent
183, 0.83444047417972, 92, 8, AI
184, 0.833616445788405, -105, 6, Opponent
185, 0.8327932410136044, -57, 8, Opponent
