# AI L, AI R, O L, O R, swap, L L, L R, R R, R L
0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0
0.0, 0.0, 0.0, 2.0, 0.0, 0.0, 0.0, 0.0, 0.0
0.0, 0.0, 0.0, 3.0, 0.0, 0.0, 0.0, 0.0, 0.0
0.0, 0.0, 0.0, 4.0, 0.0, 0.0, 0.0, 0.0, 0.0
0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
0.0, 0.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0
0.0, 0.0, 1.0, 2.0, 0.0, 0.0, 0.0, 0.0, 0.0
0.0, 0.0, 1.0, 3.0, 0.0, 0.0, 0.0, 0.0, 0.0
0.0, 0.0, 1.0, 4.0, 0.0, 0.0, 0.0, 0.0, 0.0
0.0, 0.0, 2.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
0.0, 0.0, 2.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0
0.0, 0.0, 2.0, 2.0, 0.0, 0.0, 0.0, 0.0, 0.0
0.0, 0.0, 2.0, 3.0, 0.0, 0.0, 0.0, 0.0, 0.0
0.0, 0.0, 2.0, 4.0, 0.0, 0.0, 0.0, 0.0, 0.0
0.0, 0.0, 3.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
0.0, 0.0, 3.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0
0.0, 0.0, 3.0, 2.0, 0.0, 0.0, 0.0, 0.0, 0.0
0.0, 0.0, 3.0, 3.0, 0.0, 0.0, 0.0, 0.0, 0.0
0.0, 0.0, 3.0, 4.0, 0.0, 0.0, 0.0, 0.0, 0.0
0.0, 0.0, 4.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
0.0, 0.0, 4.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0
0.0, 0.0, 4.0, 2.0, 0.0, 0.0, 0.0, 0.0, 0.0
0.0, 0.0, 4.0, 3.0, 0.0, 0.0, 0.0, 0.0, 0.0
0.0, 0.0, 4.0, 4.0, 0.0, 0.0, 0.0, 0.0, 0.0
0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
0.0, 1.0, 0.0, 1.0, 0.0, 0.689469038, 0.0, 9.330359854975312, 0.0
0.0, 1.0, 0.0, 2.0, 0.82430876699, -12.476840000000001, 47.40513593108995, 0.4463005211668091, 0.0
0.0, 1.0, 0.0, 3.0, 0.0, 45.90220641682842, 0.0, -29.460141185611004, 0.0
0.0, 1.0, 0.0, 4.0, -38.39612848739004, -118.812, -38.74057327925766, -41.2517556978897, -33.87774784691717
0.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.689469038, 0.0, 9.330359854975312
0.0, 1.0, 1.0, 1.0, -9.901000000000002, 0.0, -0.0010000000000000009, 2.1750263295251244, 2.1750263295251244
0.0, 1.0, 1.0, 2.0, 0.0, -4.604, 0.3801698769174229, -0.537862133647363, 0.6763807442314043
0.0, 1.0, 1.0, 3.0, -19.605000000000004, -3.5431521622573507, -20.86238953056852, -44.86625121515276, -19.480015439961704
0.0, 1.0, 1.0, 4.0, -10.001000000000001, -4.604, -4.223800000000001, 1.5930699753858888, -36.44058507814829
0.0, 1.0, 2.0, 0.0, 0.82430876699, 47.40513593108995, -12.476840000000001, 0.0, 0.4463005211668091
0.0, 1.0, 2.0, 1.0, 0.0, 0.3801698769174229, -4.604, 0.6763807442314043, -0.537862133647363
0.0, 1.0, 2.0, 2.0, -9.901000000000002, 1.6535133421000405, 1.6535133421000405, -2.796822401969773, -3.00746933552197
0.0, 1.0, 2.0, 3.0, -9.468740000000002, 1.354680194310889, -46.193202757674335, -28.31476065204161, -20.524480215087486
0.0, 1.0, 2.0, 4.0, -45.47722000000001, -45.22519363333668, -45.19386636856347, 51.63121920439255, -46.744144908486525
0.0, 1.0, 3.0, 0.0, 0.0, 0.0, 45.90220641682842, 0.0, -29.460141185611004
0.0, 1.0, 3.0, 1.0, -19.605000000000004, -20.86238953056852, -3.5431521622573507, -19.480015439961704, -44.86625121515276
0.0, 1.0, 3.0, 2.0, -9.468740000000002, -46.193202757674335, 1.354680194310889, -20.524480215087486, -28.31476065204161
0.0, 1.0, 3.0, 3.0, 0.0, 1.6691709439534193, 1.6691709439534193, -26.470932871289, -32.01472006316968
0.0, 1.0, 3.0, 4.0, -42.77423, -52.816699762000006, -38.35586423447116, -10.838223650340264, -40.20395581429083
0.0, 1.0, 4.0, 0.0, -38.39612848739004, -38.74057327925766, -118.812, -33.87774784691717, -41.2517556978897
0.0, 1.0, 4.0, 1.0, -10.001000000000001, -4.223800000000001, -4.604, -36.44058507814829, 1.5930699753858888
0.0, 1.0, 4.0, 2.0, -45.47722000000001, -45.19386636856347, -45.22519363333668, -46.744144908486525, 51.63121920439255
0.0, 1.0, 4.0, 3.0, -42.77423, -38.35586423447116, -52.816699762000006, -40.20395581429083, -10.838223650340264
0.0, 1.0, 4.0, 4.0, -59.308900000000015, -47.936488359573815, -47.936488359573815, -59.63857310496038, -59.63857310496038
0.0, 2.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
0.0, 2.0, 0.0, 1.0, 1.3387387364854577, 31.029716353634377, 0.0, -0.6351280013766676, 0.0
0.0, 2.0, 0.0, 2.0, 0.437903, 0.296, 0.0, 34.52281334789324, 0.0
0.0, 2.0, 0.0, 3.0, 0.7366195789691935, -138.614, 0.0, 244.91950029661908, 0.0
0.0, 2.0, 0.0, 4.0, -0.49004180916024626, -12.933230000000002, 0.0, -9.687776240031626, 6.383218048641345
0.0, 2.0, 1.0, 0.0, 1.3387387364854577, 0.0, 31.029716353634377, 0.0, -0.6351280013766676
0.0, 2.0, 1.0, 1.0, 0.489383, 1.2513740937961075, 1.3503740937961075, -2.67925258621, -2.67925258621
0.0, 2.0, 1.0, 2.0, 1.6928721132904034, 0.0, -13.12133, 0.49630301, -35.56670004696857
0.0, 2.0, 1.0, 3.0, 0.841711638463122, -59.40600000000001, 0.0, -54.746387673000015, -16.695795643678274
0.0, 2.0, 1.0, 4.0, 0.7419194634449928, -16.191536000000003, 1.6134444383481077, -8.21593402984278, -39.6102056170447
0.0, 2.0, 2.0, 0.0, 0.437903, 0.0, 0.296, 0.0, 34.52281334789324
0.0, 2.0, 2.0, 1.0, 1.6928721132904034, -13.12133, 0.0, -35.56670004696857, 0.49630301
0.0, 2.0, 2.0, 2.0, 1.5995726546349662, 0.0, 0.0, -0.6125795110000001, -0.6125795110000001
0.0, 2.0, 2.0, 3.0, 1.5960657568478152, -9.901000000000002, -3.9751300000000005, -12.187821625909304, -32.94774208131539
0.0, 2.0, 2.0, 4.0, -0.23217354571386903, -8.9456, 1.330019713918673, -10.249743263690299, -0.6255069075122884
0.0, 2.0, 3.0, 0.0, 0.7366195789691935, 0.0, -138.614, 0.0, 244.91950029661908
0.0, 2.0, 3.0, 1.0, 0.841711638463122, 0.0, -59.40600000000001, -16.695795643678274, -54.746387673000015
0.0, 2.0, 3.0, 2.0, 1.5960657568478152, -3.9751300000000005, -9.901000000000002, -32.94774208131539, -12.187821625909304
0.0, 2.0, 3.0, 3.0, 0.1995641696025954, -19.802000000000003, -79.20800000000001, -97.9504344687215, -97.9504344687215
0.0, 2.0, 3.0, 4.0, 1.9455774233793237, -27.6567773558, -69.30700000000002, -41.2340194404468, -3.478597627387499
0.0, 2.0, 4.0, 0.0, -0.49004180916024626, 0.0, -12.933230000000002, 6.383218048641345, -9.687776240031626
0.0, 2.0, 4.0, 1.0, 0.7419194634449928, 1.6134444383481077, -16.191536000000003, -39.6102056170447, -8.21593402984278
0.0, 2.0, 4.0, 2.0, -0.23217354571386903, 1.330019713918673, -8.9456, -0.6255069075122884, -10.249743263690299
0.0, 2.0, 4.0, 3.0, 1.9455774233793237, -69.30700000000002, -27.6567773558, -3.478597627387499, -41.2340194404468
0.0, 2.0, 4.0, 4.0, 0.5916090634677023, -9.232700000000001, -23.25257447, -3.8680981419485656, -4.197775713276184
0.0, 3.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
0.0, 3.0, 0.0, 1.0, 0.0, -24.633003893000005, 52.32007481173821, -2.2700272146875324, -0.034104460919270455
0.0, 3.0, 0.0, 2.0, -0.8272302591629863, -148.51500000000001, -4.8020000000000005, 1204.131144322074, -5.0
0.0, 3.0, 0.0, 3.0, 0.0, 0.8193768379999999, 0.0, 52.67784134760501, 0.0
0.0, 3.0, 0.0, 4.0, -49.97322372111189, 51.40212375395678, 0.0, 19.308302191082127, 0.0
0.0, 3.0, 1.0, 0.0, 0.0, 52.32007481173821, -24.633003893000005, -0.034104460919270455, -2.2700272146875324
0.0, 3.0, 1.0, 1.0, 2.4034670302810373, 0.0, -5.000900000000001, -0.37324219648134155, -0.37324219648134155
0.0, 3.0, 1.0, 2.0, 0.6234393147978663, -19.802000000000003, -27.668228864, 34.59224466117728, -39.83531578490046
0.0, 3.0, 1.0, 3.0, 0.017810454571396822, 1.4077502961479027, -5.0, -0.33865120000000004, -2.7268560999999996
0.0, 3.0, 1.0, 4.0, 0.0, 1.8036608497679274, -44.92820561236926, -31.519865900157047, -7.556262541505676
0.0, 3.0, 2.0, 0.0, -0.8272302591629863, -4.8020000000000005, -148.51500000000001, -5.0, 1204.131144322074
0.0, 3.0, 2.0, 1.0, 0.6234393147978663, -27.668228864, -19.802000000000003, -39.83531578490046, 34.59224466117728
0.0, 3.0, 2.0, 2.0, 0.9797154325025067, -49.50500000000001, -59.40600000000001, -57.30877327631167, -57.30877327631167
0.0, 3.0, 2.0, 3.0, 1.1375291810154242, 0.098, -9.901000000000002, -47.50591918523921, 0.3222027117224015
0.0, 3.0, 2.0, 4.0, -28.050452775189388, -28.11418299109861, -39.604000000000006, -42.4157736690483, 1.3800212286495588
0.0, 3.0, 3.0, 0.0, 0.0, 0.0, 0.8193768379999999, 0.0, 52.67784134760501
0.0, 3.0, 3.0, 1.0, 0.017810454571396822, -5.0, 1.4077502961479027, -2.7268560999999996, -0.33865120000000004
0.0, 3.0, 3.0, 2.0, 1.1375291810154242, -9.901000000000002, 0.098, 0.3222027117224015, -47.50591918523921
0.0, 3.0, 3.0, 3.0, 0.017356682081650865, 0.0, 0.0, -0.46855900000000006, -0.34390000000000004
0.0, 3.0, 3.0, 4.0, -3.350942382203526, -4.703, -16.66733, -38.24892917078735, 1.5426248351204683
0.0, 3.0, 4.0, 0.0, -49.97322372111189, 0.0, 51.40212375395678, 0.0, 19.308302191082127
0.0, 3.0, 4.0, 1.0, 0.0, -44.92820561236926, 1.8036608497679274, -7.556262541505676, -31.519865900157047
