# AI L, AI R, O L, O R, swap, L L, L R, R R, R L
0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0
0.0, 0.0, 0.0, 2.0, 0.0, 0.0, 0.0, 0.0, 0.0
0.0, 0.0, 0.0, 3.0, 0.0, 0.0, 0.0, 0.0, 0.0
0.0, 0.0, 0.0, 4.0, 0.0, 0.0, 0.0, 0.0, 0.0
0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
0.0, 0.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0
0.0, 0.0, 1.0, 2.0, 0.0, 0.0, 0.0, 0.0, 0.0
0.0, 0.0, 1.0, 3.0, 0.0, 0.0, 0.0, 0.0, 0.0
0.0, 0.0, 1.0, 4.0, 0.0, 0.0, 0.0, 0.0, 0.0
0.0, 0.0, 2.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
0.0, 0.0, 2.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0
0.0, 0.0, 2.0, 2.0, 0.0, 0.0, 0.0, 0.0, 0.0
0.0, 0.0, 2.0, 3.0, 0.0, 0.0, 0.0, 0.0, 0.0
0.0, 0.0, 2.0, 4.0, 0.0, 0.0, 0.0, 0.0, 0.0
0.0, 0.0, 3.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
0.0, 0.0, 3.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0
0.0, 0.0, 3.0, 2.0, 0.0, 0.0, 0.0, 0.0, 0.0
0.0, 0.0, 3.0, 3.0, 0.0, 0.0, 0.0, 0.0, 0.0
0.0, 0.0, 3.0, 4.0, 0.0, 0.0, 0.0, 0.0, 0.0
0.0, 0.0, 4.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
0.0, 0.0, 4.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0
0.0, 0.0, 4.0, 2.0, 0.0, 0.0, 0.0, 0.0, 0.0
0.0, 0.0, 4.0, 3.0, 0.0, 0.0, 0.0, 0.0, 0.0
0.0, 0.0, 4.0, 4.0, 0.0, 0.0, 0.0, 0.0, 0.0
0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
0.0, 1.0, 0.0, 1.0, 0.0, 0.7524000000000001, 0.0, 2.6632253801056143, 0.0
0.0, 1.0, 0.0, 2.0, 1.5031629496026002, 0.8388805, 0.0, 2.455762641097054, 0.0
0.0, 1.0, 0.0, 3.0, 0.0, 1.281048245843292, 0.0, 2.279523311288015, 0.0
0.0, 1.0, 0.0, 4.0, 2.0722900591281306, -0.015000000000000013, 0.0, 3.1694037075643644, 0.0
0.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.7524000000000001, 0.0, 2.6632253801056143
0.0, 1.0, 1.0, 1.0, 0.0, 0.0, 0.0, 2.8517566800640464, 2.8517566800640464
0.0, 1.0, 1.0, 2.0, 0.0, 0.6574, 0.0, 2.4818350606796993, 1.7571307592367316
0.0, 1.0, 1.0, 3.0, 0.0, 0.320872, 0.5201626, 1.2076573714078, 1.8787433400692308
0.0, 1.0, 1.0, 4.0, 0.0, -0.0020000000000000018, 1.2637877053229998, 1.0677331971, 3.2938270460288903
0.0, 1.0, 2.0, 0.0, 1.5031629496026002, 0.0, 0.8388805, 0.0, 2.455762641097054
0.0, 1.0, 2.0, 1.0, 0.0, 0.0, 0.6574, 1.7571307592367316, 2.4818350606796993
0.0, 1.0, 2.0, 2.0, 0.0, 0.0, 0.0, 2.7264909068758074, 2.7264909068758074
0.0, 1.0, 2.0, 3.0, 0.0, 1.853608510642771, 2.2464108274780386, 1.5719631687219868, 1.9962691733915692
0.0, 1.0, 2.0, 4.0, 0.0, -0.010000000000000009, 0.491053, 2.9526009515869944, 1.417492959158622
0.0, 1.0, 3.0, 0.0, 0.0, 0.0, 1.281048245843292, 0.0, 2.279523311288015
0.0, 1.0, 3.0, 1.0, 0.0, 0.5201626, 0.320872, 1.8787433400692308, 1.2076573714078
0.0, 1.0, 3.0, 2.0, 0.0, 2.2464108274780386, 1.853608510642771, 1.9962691733915692, 1.5719631687219868
0.0, 1.0, 3.0, 3.0, 0.0, 0.0, 0.0, 2.369645923433301, 1.7294443394146788
0.0, 1.0, 3.0, 4.0, 0.0, -0.0050000000000000044, 2.269096696982028, 0.74015874, 0.892107179164421
0.0, 1.0, 4.0, 0.0, 2.0722900591281306, 0.0, -0.015000000000000013, 0.0, 3.1694037075643644
0.0, 1.0, 4.0, 1.0, 0.0, 1.2637877053229998, -0.0020000000000000018, 3.2938270460288903, 1.0677331971
0.0, 1.0, 4.0, 2.0, 0.0, 0.491053, -0.010000000000000009, 1.417492959158622, 2.9526009515869944
0.0, 1.0, 4.0, 3.0, 0.0, 2.269096696982028, -0.0050000000000000044, 0.892107179164421, 0.74015874
0.0, 1.0, 4.0, 4.0, 0.0, -0.009000000000000008, -0.009000000000000008, 1.8960786013322277, 1.7223095570358085
0.0, 2.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
0.0, 2.0, 0.0, 1.0, 1.1056518, 1.7816916067754949, 0.0, 1.7752657798309999, 0.0
0.0, 2.0, 0.0, 2.0, 2.673277960858156, 0.5742, 0.0, 0.095, 0.0
0.0, 2.0, 0.0, 3.0, 1.3743185265312268, -0.01100000000000001, 0.0, 8.495662356994726, 0.0
0.0, 2.0, 0.0, 4.0, 1.744485145769323, 1.71918277006, 0.0, 2.5142535190026476, 0.0
0.0, 2.0, 1.0, 0.0, 1.1056518, 0.0, 1.7816916067754949, 0.0, 1.7752657798309999
0.0, 2.0, 1.0, 1.0, 0.099, 1.4501806950149245, 1.4501806950149245, 2.009978790338014, 2.2049809113042125
0.0, 2.0, 1.0, 2.0, 2.4441125982548746, -0.17195000000000002, 0.0, 0.6534, 0.5320582312
0.0, 2.0, 1.0, 3.0, 2.7385394236295597, -0.008000000000000007, 0.984973869, 1.4615580928949004, 0.7811023539203843
0.0, 2.0, 1.0, 4.0, 1.6141705812996985, 0.2713, 0.2772, 2.2221631454850646, 1.887331275740775
0.0, 2.0, 2.0, 0.0, 2.673277960858156, 0.0, 0.5742, 0.0, 0.095
0.0, 2.0, 2.0, 1.0, 2.4441125982548746, 0.0, -0.17195000000000002, 0.5320582312, 0.6534
0.0, 2.0, 2.0, 2.0, 3.8240261207164163, 0.0, 0.0, 0.4851, 0.099
0.0, 2.0, 2.0, 3.0, 3.279470490774974, -0.0020000000000000018, 0.1782, 0.0, 0.5426338
0.0, 2.0, 2.0, 4.0, 1.28361321, 0.148, 0.0, 0.017085243564899998, 2.4542944689542585
0.0, 2.0, 3.0, 0.0, 1.3743185265312268, 0.0, -0.01100000000000001, 0.0, 8.495662356994726
0.0, 2.0, 3.0, 1.0, 2.7385394236295597, 0.984973869, -0.008000000000000007, 0.7811023539203843, 1.4615580928949004
0.0, 2.0, 3.0, 2.0, 3.279470490774974, 0.1782, -0.0020000000000000018, 0.5426338, 0.0
0.0, 2.0, 3.0, 3.0, 3.3922981518675805, 0.2693, 0.2693, 1.223616875286019, 1.223616875286019
0.0, 2.0, 3.0, 4.0, 0.6094440000000001, 1.1098272802, -0.0040000000000000036, 0.4958182847198694, 3.5681635455845653
0.0, 2.0, 4.0, 0.0, 1.744485145769323, 0.0, 1.71918277006, 0.0, 2.5142535190026476
0.0, 2.0, 4.0, 1.0, 1.6141705812996985, 0.2772, 0.2713, 1.887331275740775, 2.2221631454850646
0.0, 2.0, 4.0, 2.0, 1.28361321, 0.0, 0.148, 2.4542944689542585, 0.017085243564899998
0.0, 2.0, 4.0, 3.0, 0.6094440000000001, -0.0040000000000000036, 1.1098272802, 3.5681635455845653, 0.4958182847198694
0.0, 2.0, 4.0, 4.0, 0.9151874622, 2.4655874725377425, 2.4655874725377425, 1.21194536967, 1.21194536967
0.0, 3.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
0.0, 3.0, 0.0, 1.0, 0.0, 2.624435841363101, 0.0, 0.6511303739123834, 0.0
0.0, 3.0, 0.0, 2.0, 2.59440933856163, -0.02200000000000002, 0.0, 3.3941341334703505, 0.0
0.0, 3.0, 0.0, 3.0, 0.0, 1.1836440000000001, 0.0, 2.747251050078891, 0.0
0.0, 3.0, 0.0, 4.0, 1.6765325347839948, 1.13310477995, 0.0, 1.855135588315802, 0.0
0.0, 3.0, 1.0, 0.0, 0.0, 0.0, 2.624435841363101, 0.0, 0.6511303739123834
0.0, 3.0, 1.0, 1.0, 0.0, 0.553423, 0.9175726299999999, 2.8506378161174912, 2.8506378161174912
0.0, 3.0, 1.0, 2.0, 0.0, -0.0050000000000000044, -0.0676301, 2.784290492622678, 0.8649511876689768
0.0, 3.0, 1.0, 3.0, 0.0, 0.5643, 0.0, 2.6300117851089686, 1.38172023
0.0, 3.0, 1.0, 4.0, 0.0, 2.918137949394183, 1.638483206161065, 0.9838871122729002, 1.17265399366
0.0, 3.0, 2.0, 0.0, 2.59440933856163, 0.0, -0.02200000000000002, 0.0, 3.3941341334703505
0.0, 3.0, 2.0, 1.0, 0.0, -0.0676301, -0.0050000000000000044, 0.8649511876689768, 2.784290492622678
0.0, 3.0, 2.0, 2.0, 0.0, -0.008000000000000007, -0.008000000000000007, 2.011385721104144, 2.011385721104144
0.0, 3.0, 2.0, 3.0, 0.0, 0.0, -0.0010000000000000009, 1.8015333550117767, 2.357203864673481
0.0, 3.0, 2.0, 4.0, 0.0, 0.9419949, -0.0030000000000000027, 1.9118263172071928, 0.17451036889440294
0.0, 3.0, 3.0, 0.0, 0.0, 0.0, 1.1836440000000001, 0.0, 2.747251050078891
0.0, 3.0, 3.0, 1.0, 0.0, 0.0, 0.5643, 1.38172023, 2.6300117851089686
0.0, 3.0, 3.0, 2.0, 0.0, -0.0010000000000000009, 0.0, 2.357203864673481, 1.8015333550117767
0.0, 3.0, 3.0, 3.0, 0.80487, 0.0, 0.0, 0.0, 0.0
0.0, 3.0, 3.0, 4.0, 0.0, 0.50008, 1.167075247, 0.959839339, 1.929418491573625
0.0, 3.0, 4.0, 0.0, 1.6765325347839948, 0.0, 1.13310477995, 0.0, 1.855135588315802
0.0, 3.0, 4.0, 1.0, 0.0, 1.638483206161065, 2.918137949394183, 1.17265399366, 0.9838871122729002
0.0, 3.0, 4.0, 2.0, 0.0, -0.0030000000000000027, 0.9419949, 0.17451036889440294, 1.9118263172071928
0.0, 3.0, 4.0, 3.0, 0.0, 1.167075247, 0.50008, 1.929418491573625, 0.959839339
0.0, 3.0, 4.0, 4.0, 0.0, 0.54648, 0.54648, 1.903973613411987, 1.903973613411987
0.0, 4.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
