# AI L, AI R, O L, O R, swap, L L, L R, R R, R L
0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0
0.0, 0.0, 0.0, 2.0, 0.0, 0.0, 0.0, 0.0, 0.0
0.0, 0.0, 0.0, 3.0, 0.0, 0.0, 0.0, 0.0, 0.0
0.0, 0.0, 0.0, 4.0, 0.0, 0.0, 0.0, 0.0, 0.0
0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
0.0, 0.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0
0.0, 0.0, 1.0, 2.0, 0.0, 0.0, 0.0, 0.0, 0.0
0.0, 0.0, 1.0, 3.0, 0.0, 0.0, 0.0, 0.0, 0.0
0.0, 0.0, 1.0, 4.0, 0.0, 0.0, 0.0, 0.0, 0.0
0.0, 0.0, 2.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
0.0, 0.0, 2.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0
0.0, 0.0, 2.0, 2.0, 0.0, 0.0, 0.0, 0.0, 0.0
0.0, 0.0, 2.0, 3.0, 0.0, 0.0, 0.0, 0.0, 0.0
0.0, 0.0, 2.0, 4.0, 0.0, 0.0, 0.0, 0.0, 0.0
0.0, 0.0, 3.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
0.0, 0.0, 3.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0
0.0, 0.0, 3.0, 2.0, 0.0, 0.0, 0.0, 0.0, 0.0
0.0, 0.0, 3.0, 3.0, 0.0, 0.0, 0.0, 0.0, 0.0
0.0, 0.0, 3.0, 4.0, 0.0, 0.0, 0.0, 0.0, 0.0
0.0, 0.0, 4.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
0.0, 0.0, 4.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0
0.0, 0.0, 4.0, 2.0, 0.0, 0.0, 0.0, 0.0, 0.0
0.0, 0.0, 4.0, 3.0, 0.0, 0.0, 0.0, 0.0, 0.0
0.0, 0.0, 4.0, 4.0, 0.0, 0.0, 0.0, 0.0, 0.0
0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
0.0, 1.0, 0.0, 1.0, 0.0, 0.80247744836, 0.0, 36.33743495574929, 0.0
0.0, 1.0, 0.0, 2.0, 0.9487653547982213, -37.48778090870632, 50.99020270533852, 2.144771770982656, 0.0
0.0, 1.0, 0.0, 3.0, 0.0, 0.9265693351311951, 0.0, -32.64886157489289, 0.0
0.0, 1.0, 0.0, 4.0, -4.074676932736272, -64.48734764569902, -4.8020000000000005, 16.996868569464066, -4.901
0.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.80247744836, 0.0, 36.33743495574929
0.0, 1.0, 1.0, 1.0, 0.0, -0.09280000000000001, -0.265168, 0.8489966412719451, 1.4874448117677053
0.0, 1.0, 1.0, 2.0, -9.901000000000002, -19.5203282, -0.3799904410000001, -2.5098003814295455, 2.7689301713083503
0.0, 1.0, 1.0, 3.0, -16.163862061740193, -16.030407587832894, -32.266343676677, -47.47026872636352, -19.391866407556975
0.0, 1.0, 1.0, 4.0, -25.421050363330004, -34.049539, -17.294879062945984, -31.697653281129107, -19.33604559832127
0.0, 1.0, 2.0, 0.0, 0.9487653547982213, 50.99020270533852, -37.48778090870632, 0.0, 2.144771770982656
0.0, 1.0, 2.0, 1.0, -9.901000000000002, -0.3799904410000001, -19.5203282, 2.7689301713083503, -2.5098003814295455
0.0, 1.0, 2.0, 2.0, -24.404161513236048, -16.741110908128704, -23.59912323125411, 0.9662326945539013, 1.0726475415264203
0.0, 1.0, 2.0, 3.0, -9.901000000000002, 0.12336424306052947, -49.707122604180974, -22.88002110172583, -36.305336648062976
0.0, 1.0, 2.0, 4.0, -42.19559406991001, -44.95156672212911, -41.142444305076495, -42.17354184979688, -14.477560679495495
0.0, 1.0, 3.0, 0.0, 0.0, 0.0, 0.9265693351311951, 0.0, -32.64886157489289
0.0, 1.0, 3.0, 1.0, -16.163862061740193, -32.266343676677, -16.030407587832894, -19.391866407556975, -47.47026872636352
0.0, 1.0, 3.0, 2.0, -9.901000000000002, -49.707122604180974, 0.12336424306052947, -36.305336648062976, -22.88002110172583
0.0, 1.0, 3.0, 3.0, -9.573040000000002, 2.2819239161045637, 2.2819239161045637, -31.796588667295524, -30.103987408106136
0.0, 1.0, 3.0, 4.0, -32.82462197047448, -60.651497384110016, -32.45597840364127, -32.736941434684596, -27.435512485177536
0.0, 1.0, 4.0, 0.0, -4.074676932736272, -4.8020000000000005, -64.48734764569902, -4.901, 16.996868569464066
0.0, 1.0, 4.0, 1.0, -25.421050363330004, -17.294879062945984, -34.049539, -19.33604559832127, -31.697653281129107
0.0, 1.0, 4.0, 2.0, -42.19559406991001, -41.142444305076495, -44.95156672212911, -14.477560679495495, -42.17354184979688
0.0, 1.0, 4.0, 3.0, -32.82462197047448, -32.45597840364127, -60.651497384110016, -27.435512485177536, -32.736941434684596
0.0, 1.0, 4.0, 4.0, -49.21773377112912, -36.37745861786722, -46.37645861786722, -41.670689957467154, -35.29965550829684
0.0, 2.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
0.0, 2.0, 0.0, 1.0, 0.370706605185184, 17.99417562782861, 0.0, -33.14896924576635, 0.0
0.0, 2.0, 0.0, 2.0, 0.02195765752400007, 0.3842, 0.0, 1.192333249068035, 0.0
0.0, 2.0, 0.0, 3.0, -0.13466537026249017, -71.04665159301621, -4.604, -11.758824536221397, -4.9514112336067955
0.0, 2.0, 0.0, 4.0, 0.6618606363691198, -12.85304, 0.0, -0.07824356826633445, 0.0
0.0, 2.0, 1.0, 0.0, 0.370706605185184, 0.0, 17.99417562782861, 0.0, -33.14896924576635
0.0, 2.0, 1.0, 1.0, 3.5193255464908706, -0.011800000000000005, -0.011800000000000005, -39.836908145091954, -39.836908145091954
0.0, 2.0, 1.0, 2.0, -0.5638878944625073, -8.97314, -9.133700000000001, -19.526337861039483, -34.89528193262258
0.0, 2.0, 1.0, 3.0, -0.13346271261375034, -30.03554836, -4.366859, -13.98449714869901, -14.271166000000003
0.0, 2.0, 1.0, 4.0, 1.3829166284955647, -23.13986198, 0.323643742543137, -9.561745683306999, -10.92904147621
0.0, 2.0, 2.0, 0.0, 0.02195765752400007, 0.0, 0.3842, 0.0, 1.192333249068035
0.0, 2.0, 2.0, 1.0, -0.5638878944625073, -9.133700000000001, -8.97314, -34.89528193262258, -19.526337861039483
0.0, 2.0, 2.0, 2.0, 0.3598469555407583, 0.4834482560000001, 0.3859224007616001, 1.8118065700759987, 1.8118065700759987
0.0, 2.0, 2.0, 3.0, 0.17139782020054023, -26.83171, -4.3820581999999995, -0.2796022, -27.567077995000002
0.0, 2.0, 2.0, 4.0, 1.5713551212723371, -29.04078909344, 0.12163339363256265, -8.335130000000001, -0.34390000000000004
0.0, 2.0, 3.0, 0.0, -0.13466537026249017, -4.604, -71.04665159301621, -4.9514112336067955, -11.758824536221397
0.0, 2.0, 3.0, 1.0, -0.13346271261375034, -4.366859, -30.03554836, -14.271166000000003, -13.98449714869901
0.0, 2.0, 3.0, 2.0, 0.17139782020054023, -4.3820581999999995, -26.83171, -27.567077995000002, -0.2796022
0.0, 2.0, 3.0, 3.0, 1.4195709526619524, -18.8119, -18.8119, -39.43927066721, -40.88150924044011
0.0, 2.0, 3.0, 4.0, 0.7017540292396023, -13.28171, -26.83171, -22.90409447, -14.793332368600005
0.0, 2.0, 4.0, 0.0, 0.6618606363691198, 0.0, -12.85304, 0.0, -0.07824356826633445
0.0, 2.0, 4.0, 1.0, 1.3829166284955647, 0.323643742543137, -23.13986198, -10.92904147621, -9.561745683306999
0.0, 2.0, 4.0, 2.0, 1.5713551212723371, 0.12163339363256265, -29.04078909344, -0.34390000000000004, -8.335130000000001
0.0, 2.0, 4.0, 3.0, 0.7017540292396023, -26.83171, -13.28171, -14.793332368600005, -22.90409447
0.0, 2.0, 4.0, 4.0, 0.5310233160027195, -20.386400000000002, -20.386400000000002, -19.32842057, -19.32842057
0.0, 3.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
0.0, 3.0, 0.0, 1.0, 0.0, -43.03583499068229, 51.917319017934275, -14.65950089545447, 0.0
0.0, 3.0, 0.0, 2.0, 0.5038959749120001, -46.39202659000001, 0.0, 90.20989148234385, 0.0
0.0, 3.0, 0.0, 3.0, 0.0, 1.567641550123968, 0.0, 15.624911020662404, 0.0
0.0, 3.0, 0.0, 4.0, -43.18630393605744, 2.9957854274828666, -0.1, -22.781092330361542, -0.1
0.0, 3.0, 1.0, 0.0, 0.0, 51.917319017934275, -43.03583499068229, 0.0, -14.65950089545447
0.0, 3.0, 1.0, 1.0, 62.07043118909331, -25.874704364, -25.874704364, -3.629795535488047, 1.0755610672987073
0.0, 3.0, 1.0, 2.0, 0.0, -26.83171, -5.0, -9.031344931236125, -31.773003112598
0.0, 3.0, 1.0, 3.0, -0.1, 0.6644393343709052, -19.789608200000004, -0.07099311384227605, -8.510387
0.0, 3.0, 1.0, 4.0, -4.778798, 0.25954116739913347, -20.410546100000005, -38.02205179059374, -2.034224863357742
0.0, 3.0, 2.0, 0.0, 0.5038959749120001, 0.0, -46.39202659000001, 0.0, 90.20989148234385
0.0, 3.0, 2.0, 1.0, 0.0, -5.0, -26.83171, -31.773003112598, -9.031344931236125
0.0, 3.0, 2.0, 2.0, -0.18964119334905866, -73.84298643371459, -73.84298643371459, -57.714764174408515, -57.714764174408515
0.0, 3.0, 2.0, 3.0, -0.26182875232844427, -3.487636000000001, -40.545585100000004, -9.391705051600002, -36.0241817537252
0.0, 3.0, 2.0, 4.0, -14.56524979885119, -26.709108465383874, -40.545585100000004, -27.82779737874552, -23.792193366096512
0.0, 3.0, 3.0, 0.0, 0.0, 0.0, 1.567641550123968, 0.0, 15.624911020662404
0.0, 3.0, 3.0, 1.0, -0.1, -19.789608200000004, 0.6644393343709052, -8.510387, -0.07099311384227605
0.0, 3.0, 3.0, 2.0, -0.26182875232844427, -40.545585100000004, -3.487636000000001, -36.0241817537252, -9.391705051600002
0.0, 3.0, 3.0, 3.0, 0.36670372761141734, 0.0, 0.0, 1.2800767666680477, 1.2800767666680477
0.0, 3.0, 3.0, 4.0, -18.499307087840002, -17.195, -17.890864922712392, -23.283608, -8.182256927928877
0.0, 3.0, 4.0, 0.0, -43.18630393605744, -0.1, 2.9957854274828666, -0.1, -22.781092330361542
0.0, 3.0, 4.0, 1.0, -4.778798, -20.410546100000005, 0.25954116739913347, -2.034224863357742, -38.02205179059374
