# AI L, AI R, O L, O R, swap, L L, L R, R R, R L
0.0, 0.0, 0.0, 1.0, nan, nan, nan, nan, nan
0.0, 0.0, 0.0, 2.0, nan, nan, nan, nan, nan
0.0, 0.0, 0.0, 3.0, nan, nan, nan, nan, nan
0.0, 0.0, 0.0, 4.0, nan, nan, nan, nan, nan
0.0, 0.0, 1.0, 0.0, nan, nan, nan, nan, nan
0.0, 0.0, 1.0, 1.0, nan, nan, nan, nan, nan
0.0, 0.0, 1.0, 2.0, nan, nan, nan, nan, nan
0.0, 0.0, 1.0, 3.0, nan, nan, nan, nan, nan
0.0, 0.0, 1.0, 4.0, nan, nan, nan, nan, nan
0.0, 0.0, 2.0, 0.0, nan, nan, nan, nan, nan
0.0, 0.0, 2.0, 1.0, nan, nan, nan, nan, nan
0.0, 0.0, 2.0, 2.0, nan, nan, nan, nan, nan
0.0, 0.0, 2.0, 3.0, nan, nan, nan, nan, nan
0.0, 0.0, 2.0, 4.0, nan, nan, nan, nan, nan
0.0, 0.0, 3.0, 0.0, nan, nan, nan, nan, nan
0.0, 0.0, 3.0, 1.0, nan, nan, nan, nan, nan
0.0, 0.0, 3.0, 2.0, nan, nan, nan, nan, nan
0.0, 0.0, 3.0, 3.0, nan, nan, nan, nan, nan
0.0, 0.0, 3.0, 4.0, nan, nan, nan, nan, nan
0.0, 0.0, 4.0, 0.0, nan, nan, nan, nan, nan
0.0, 0.0, 4.0, 1.0, nan, nan, nan, nan, nan
0.0, 0.0, 4.0, 2.0, nan, nan, nan, nan, nan
0.0, 0.0, 4.0, 3.0, nan, nan, nan, nan, nan
0.0, 0.0, 4.0, 4.0, nan, nan, nan, nan, nan
0.0, 1.0, 0.0, 0.0, nan, nan, nan, nan, nan
0.0, 1.0, 0.0, 1.0, nan, nan, nan, 53.88055645096661, nan
0.0, 1.0, 0.0, 2.0, nan, nan, nan, 2.693971944161625, nan
0.0, 1.0, 0.0, 3.0, nan, nan, nan, -47.29386266990584, nan
0.0, 1.0, 0.0, 4.0, nan, nan, nan, 100.99000000000012, nan
0.0, 1.0, 1.0, 0.0, nan, nan, nan, nan, 53.88055645096661
0.0, 1.0, 1.0, 1.0, nan, nan, nan, 0.9810894195950393, 0.9810894195950393
0.0, 1.0, 1.0, 2.0, nan, nan, nan, 2.4164986816229206, 1.573396910650651
0.0, 1.0, 1.0, 3.0, nan, nan, nan, -47.54774312066925, -0.0018039138394770012
0.0, 1.0, 1.0, 4.0, nan, nan, nan, 2.8764309240547603, -47.45216629564681
0.0, 1.0, 2.0, 0.0, nan, nan, nan, nan, 2.693971944161625
0.0, 1.0, 2.0, 1.0, nan, nan, nan, 1.573396910650651, 2.4164986816229206
0.0, 1.0, 2.0, 2.0, nan, nan, nan, 1.0037733869314627, 1.0037733869314627
0.0, 1.0, 2.0, 3.0, nan, nan, nan, -47.37404275289602, 0.6988871393379258
0.0, 1.0, 2.0, 4.0, nan, nan, nan, 52.09961946174137, -48.689194256700475
0.0, 1.0, 3.0, 0.0, nan, nan, nan, nan, -47.29386266990584
0.0, 1.0, 3.0, 1.0, nan, nan, nan, -0.0018039138394770012, -47.54774312066925
0.0, 1.0, 3.0, 2.0, nan, nan, nan, 0.6988871393379258, -47.37404275289602
0.0, 1.0, 3.0, 3.0, nan, nan, nan, -47.21690373190091, -46.66233153079733
0.0, 1.0, 3.0, 4.0, nan, nan, nan, 1.9018475330072273, -47.74061190937239
0.0, 1.0, 4.0, 0.0, nan, nan, nan, nan, 100.99000000000012
0.0, 1.0, 4.0, 1.0, nan, nan, nan, -47.45216629564681, 2.8764309240547603
0.0, 1.0, 4.0, 2.0, nan, nan, nan, -48.689194256700475, 52.09961946174137
0.0, 1.0, 4.0, 3.0, nan, nan, nan, -47.74061190937239, 1.9018475330072273
0.0, 1.0, 4.0, 4.0, nan, nan, nan, -47.9132915919343, -47.9132915919343
0.0, 2.0, 0.0, 0.0, 0.0, nan, nan, nan, nan
0.0, 2.0, 0.0, 1.0, 1.7521050127636695, nan, nan, -47.39317515681099, nan
0.0, 2.0, 0.0, 2.0, 1.4651279213310044, nan, nan, 49.99999999999998, nan
0.0, 2.0, 0.0, 3.0, 0.981781693848365, nan, nan, 100.99000000000012, nan
0.0, 2.0, 0.0, 4.0, 1.8426214632753435, nan, nan, -0.999390461438388, nan
0.0, 2.0, 1.0, 0.0, 1.7521050127636695, nan, nan, nan, -47.39317515681099
0.0, 2.0, 1.0, 1.0, 0.7294117737240831, nan, nan, -49.65441789828583, -49.68897610845725
0.0, 2.0, 1.0, 2.0, 1.8503159561157319, nan, nan, -0.9750310238376924, -47.97585188622847
0.0, 2.0, 1.0, 3.0, 1.4483299877911693, nan, nan, -0.9817519963685992, -42.49526823515005
0.0, 2.0, 1.0, 4.0, 1.0599909459144294, nan, nan, -0.9977041957464347, -46.9433086498292
0.0, 2.0, 2.0, 0.0, 1.4651279213310044, nan, nan, nan, 49.99999999999998
