# AI L, AI R, O L, O R, swap, L L, L R, R R, R L
0.0, 0.0, 0.0, 1.0, nan, nan, nan, nan, nan
0.0, 0.0, 0.0, 2.0, nan, nan, nan, nan, nan
0.0, 0.0, 0.0, 3.0, nan, nan, nan, nan, nan
0.0, 0.0, 0.0, 4.0, nan, nan, nan, nan, nan
0.0, 0.0, 1.0, 0.0, nan, nan, nan, nan, nan
0.0, 0.0, 1.0, 1.0, nan, nan, nan, nan, nan
0.0, 0.0, 1.0, 2.0, nan, nan, nan, nan, nan
0.0, 0.0, 1.0, 3.0, nan, nan, nan, nan, nan
0.0, 0.0, 1.0, 4.0, nan, nan, nan, nan, nan
0.0, 0.0, 2.0, 0.0, nan, nan, nan, nan, nan
0.0, 0.0, 2.0, 1.0, nan, nan, nan, nan, nan
0.0, 0.0, 2.0, 2.0, nan, nan, nan, nan, nan
0.0, 0.0, 2.0, 3.0, nan, nan, nan, nan, nan
0.0, 0.0, 2.0, 4.0, nan, nan, nan, nan, nan
0.0, 0.0, 3.0, 0.0, nan, nan, nan, nan, nan
0.0, 0.0, 3.0, 1.0, nan, nan, nan, nan, nan
0.0, 0.0, 3.0, 2.0, nan, nan, nan, nan, nan
0.0, 0.0, 3.0, 3.0, nan, nan, nan, nan, nan
0.0, 0.0, 3.0, 4.0, nan, nan, nan, nan, nan
0.0, 0.0, 4.0, 0.0, nan, nan, nan, nan, nan
0.0, 0.0, 4.0, 1.0, nan, nan, nan, nan, nan
0.0, 0.0, 4.0, 2.0, nan, nan, nan, nan, nan
0.0, 0.0, 4.0, 3.0, nan, nan, nan, nan, nan
0.0, 0.0, 4.0, 4.0, nan, nan, nan, nan, nan
0.0, 1.0, 0.0, 0.0, nan, nan, nan, nan, nan
0.0, 1.0, 0.0, 1.0, nan, nan, nan, 53.44121173767195, nan
0.0, 1.0, 0.0, 2.0, nan, nan, nan, 1.698986401552237, nan
0.0, 1.0, 0.0, 3.0, nan, nan, nan, -46.478334499780736, nan
0.0, 1.0, 0.0, 4.0, nan, nan, nan, 100.99000000000012, nan
0.0, 1.0, 1.0, 0.0, nan, nan, nan, nan, 53.44121173767195
0.0, 1.0, 1.0, 1.0, nan, nan, nan, 1.48351777470914, 1.532165997238226
0.0, 1.0, 1.0, 2.0, nan, nan, nan, 1.2539823901951994, 1.532528282445785
0.0, 1.0, 1.0, 3.0, nan, nan, nan, -46.73450437311889, 1.8010966915188915
0.0, 1.0, 1.0, 4.0, nan, nan, nan, 0.8076416861367708, -46.83208194881149
0.0, 1.0, 2.0, 0.0, nan, nan, nan, nan, 1.698986401552237
0.0, 1.0, 2.0, 1.0, nan, nan, nan, 1.532528282445785, 1.2539823901951994
0.0, 1.0, 2.0, 2.0, nan, nan, nan, 2.132248528372496, 2.1160236755352466
0.0, 1.0, 2.0, 3.0, nan, nan, nan, -46.729668926424246, 1.0455536963508412
0.0, 1.0, 2.0, 4.0, nan, nan, nan, 52.049635080233486, -48.5518770390959
0.0, 1.0, 3.0, 0.0, nan, nan, nan, nan, -46.478334499780736
0.0, 1.0, 3.0, 1.0, nan, nan, nan, 1.8010966915188915, -46.73450437311889
0.0, 1.0, 3.0, 2.0, nan, nan, nan, 1.0455536963508412, -46.729668926424246
0.0, 1.0, 3.0, 3.0, nan, nan, nan, -45.47591413330909, -45.30323792589898
0.0, 1.0, 3.0, 4.0, nan, nan, nan, 2.883290742371804, -47.436838560447804
0.0, 1.0, 4.0, 0.0, nan, nan, nan, nan, 100.99000000000012
0.0, 1.0, 4.0, 1.0, nan, nan, nan, -46.83208194881149, 0.8076416861367708
0.0, 1.0, 4.0, 2.0, nan, nan, nan, -48.5518770390959, 52.049635080233486
0.0, 1.0, 4.0, 3.0, nan, nan, nan, -47.436838560447804, 2.883290742371804
0.0, 1.0, 4.0, 4.0, nan, nan, nan, -48.019999999665075, -48.019999999665075
0.0, 2.0, 0.0, 0.0, 0.0, nan, nan, nan, nan
0.0, 2.0, 0.0, 1.0, 1.9309966353463497, nan, nan, -47.778272450635896, nan
0.0, 2.0, 0.0, 2.0, 1.0463470422536871, nan, nan, 49.99999999992577, nan
0.0, 2.0, 0.0, 3.0, 1.461461243310963, nan, nan, 100.99000000000012, nan
0.0, 2.0, 0.0, 4.0, 1.7962470102256718, nan, nan, -0.9985804044515384, nan
0.0, 2.0, 1.0, 0.0, 1.9309966353463497, nan, nan, nan, -47.778272450635896
0.0, 2.0, 1.0, 1.0, 1.0595415514251707, nan, nan, -49.999784865449946, -49.999784865449946
0.0, 2.0, 1.0, 2.0, 0.9657169133422325, nan, nan, -0.9800274345704069, -49.33652311696636
0.0, 2.0, 1.0, 3.0, 1.4957366167417332, nan, nan, -0.9837410287644219, -49.71510896986786
0.0, 2.0, 1.0, 4.0, 0.6667381583365056, nan, nan, -0.9912720364319122, -48.39234867821915
0.0, 2.0, 2.0, 0.0, 1.0463470422536871, nan, nan, nan, 49.99999999992577
