# episode, exploration_rate, rewards_current_episode, step, winner
0, 1.0, 1.0, 9, AI
1, 0.9990104948350412, 0.5, 13, AI
2, 0.9980219786806598, 1.5, 4, AI
3, 0.9970344505483393, -0.5, 4, Opponent
4, 0.9960479094505515, 1, 4, AI
5, 0.9950623544007555, -0.5, 2, Opponent
6, 0.9940777844133959, 1.5, 8, AI
7, 0.9930941985039028, 1.5, 4, AI
8, 0.99211159568869, -0.5, 9, Opponent
9, 0.9911299749851548, -0.5, 6, Opponent
10, 0.9901493354116764, 1.5, 10, AI
11, 0.9891696759876151, -0.5, 8, Opponent
12, 0.9881909957333113, 1, 10, AI
13, 0.9872132936700847, -1.0, 13, Opponent
14, 0.9862365688202333, -0.5, 2, Opponent
15, 0.985260820207032, 1, 2, AI
16, 0.9842860468547323, 1.5, 4, AI
17, 0.9833122477885605, 0.0, 11, Opponent
18, 0.9823394220347178, 1, 11, AI
19, 0.9813675686203779, 1, 8, AI
20, 0.9803966865736877, 1.5, 9, AI
21, 0.979426774923765, -0.5, 3, Opponent
22, 0.978457832700698, -1.5, 14, Opponent
23, 0.9774898589355443, 0.0, 18, AI
24, 0.9765228526603302, 1, 6, AI
25, 0.9755568129080493, -0.5, 2, Opponent
26, 0.9745917387126619, -1.0, 25, Opponent
27, 0.9736276291090934, 1, 3, AI
28, 0.9726644831332344, -1.0, 6, Opponent
29, 0.9717022998219388, -1.0, 6, Opponent
30, 0.970741078213023, -1.0, 6, Opponent
31, 0.9697808173452657, 1, 4, AI
32, 0.9688215162584056, 1.5, 4, AI
33, 0.9678631739931417, 0.5, 9, AI
34, 0.9669057895911316, -0.5, 3, Opponent
35, 0.9659493620949908, -0.5, 7, Opponent
36, 0.9649938905482919, 1.5, 10, AI
37, 0.9640393739955629, -0.5, 9, Opponent
38, 0.9630858114822876, 1, 4, AI
39, 0.962133202054903, 1, 4, AI
40, 0.9611815447608, 1, 7, AI
41, 0.9602308386483209, 0.5, 17, AI
42, 0.9592810827667597, -0.5, 4, Opponent
43, 0.9583322761663603, -0.5, 4, Opponent
