# episode, # turns, reward
0.0, 13.0, -1.0400000000000003
1.0, 6.0, 1.6
2.0, 14.0, -1.1200000000000003
3.0, 11.0, -0.8800000000000002
4.0, 8.0, -0.64
5.0, 26.0, -8.881784197001252e-16
6.0, 3.0, -0.24000000000000002
7.0, 3.0, -0.24000000000000002
8.0, 4.0, -0.32
9.0, 14.0, -1.1200000000000003
10.0, 15.0, -1.2000000000000004
11.0, 12.0, 1.1199999999999997
12.0, 5.0, -0.39999999999999997
13.0, 19.0, -1.5200000000000007
14.0, 3.0, -0.24000000000000002
15.0, 5.0, -0.39999999999999997
16.0, 3.0, -0.24000000000000002
17.0, 4.0, -0.32
18.0, 13.0, 1.0399999999999996
19.0, 6.0, -0.4799999999999999
20.0, 6.0, -0.4799999999999999
21.0, 14.0, -1.1200000000000003
22.0, 9.0, -0.7200000000000001
23.0, 3.0, -0.24000000000000002
24.0, 8.0, 1.44
25.0, 5.0, -0.39999999999999997
26.0, 10.0, -0.8000000000000002
27.0, 3.0, 1.8399999999999999
28.0, 4.0, -0.32
29.0, 5.0, 1.68
30.0, 7.0, -0.5599999999999999
31.0, 3.0, -0.24000000000000002
32.0, 11.0, -0.8800000000000002
33.0, 4.0, -0.32
34.0, 4.0, 1.76
35.0, 6.0, -0.4799999999999999
36.0, 10.0, -0.8000000000000002
37.0, 6.0, 1.6
38.0, 5.0, -0.39999999999999997
39.0, 12.0, -0.9600000000000003
40.0, 6.0, -0.4799999999999999
41.0, 3.0, -0.24000000000000002
42.0, 5.0, -0.39999999999999997
43.0, 5.0, 1.68
44.0, 7.0, -0.5599999999999999
45.0, 6.0, 1.6
46.0, 9.0, -0.7200000000000001
47.0, 24.0, -1.920000000000001
48.0, 9.0, -0.7200000000000001
49.0, 6.0, 1.6
50.0, 11.0, 1.1999999999999997
51.0, 3.0, -0.24000000000000002
52.0, 9.0, -0.7200000000000001
53.0, 6.0, -0.4799999999999999
54.0, 5.0, -0.39999999999999997
55.0, 3.0, -0.24000000000000002
56.0, 6.0, -0.4799999999999999
57.0, 4.0, -0.32
58.0, 6.0, 1.6
59.0, 13.0, -1.0400000000000003
60.0, 14.0, -1.1200000000000003
