# AI L, AI R, O L, O R, swap, L L, L R, R R, R L
0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0
0.0, 0.0, 0.0, 2.0, 0.0, 0.0, 0.0, 0.0, 0.0
0.0, 0.0, 0.0, 3.0, 0.0, 0.0, 0.0, 0.0, 0.0
0.0, 0.0, 0.0, 4.0, 0.0, 0.0, 0.0, 0.0, 0.0
0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
0.0, 0.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0
0.0, 0.0, 1.0, 2.0, 0.0, 0.0, 0.0, 0.0, 0.0
0.0, 0.0, 1.0, 3.0, 0.0, 0.0, 0.0, 0.0, 0.0
0.0, 0.0, 1.0, 4.0, 0.0, 0.0, 0.0, 0.0, 0.0
0.0, 0.0, 2.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
0.0, 0.0, 2.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0
0.0, 0.0, 2.0, 2.0, 0.0, 0.0, 0.0, 0.0, 0.0
0.0, 0.0, 2.0, 3.0, 0.0, 0.0, 0.0, 0.0, 0.0
0.0, 0.0, 2.0, 4.0, 0.0, 0.0, 0.0, 0.0, 0.0
0.0, 0.0, 3.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
0.0, 0.0, 3.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0
0.0, 0.0, 3.0, 2.0, 0.0, 0.0, 0.0, 0.0, 0.0
0.0, 0.0, 3.0, 3.0, 0.0, 0.0, 0.0, 0.0, 0.0
0.0, 0.0, 3.0, 4.0, 0.0, 0.0, 0.0, 0.0, 0.0
0.0, 0.0, 4.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
0.0, 0.0, 4.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0
0.0, 0.0, 4.0, 2.0, 0.0, 0.0, 0.0, 0.0, 0.0
0.0, 0.0, 4.0, 3.0, 0.0, 0.0, 0.0, 0.0, 0.0
0.0, 0.0, 4.0, 4.0, 0.0, 0.0, 0.0, 0.0, 0.0
0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
0.0, 1.0, 0.0, 1.0, 0.0, 0.0, 0.0, 52.356866280894835, 0.0
0.0, 1.0, 0.0, 2.0, 0.0, 0.0, 0.0, 1.1298461785174783, 0.0
0.0, 1.0, 0.0, 3.0, 0.0, 1.5412812195448362, 0.0, -47.62173192926159, 0.0
0.0, 1.0, 0.0, 4.0, 0.0, 0.0, 0.0, 6847.122000000071, 0.0
0.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 52.356866280894835
0.0, 1.0, 1.0, 1.0, 0.0, 0.0, 0.0, 1.5529554177067126, 1.5946598759360413
0.0, 1.0, 1.0, 2.0, 0.0, 0.0, 0.0, 1.1499665385082392, 1.7908302192960117
0.0, 1.0, 1.0, 3.0, 0.0, 0.0, 0.0, -44.51663126600678, 1.4694896916051103
0.0, 1.0, 1.0, 4.0, -9.901000000000002, 0.0, 0.0, 1.3954557704422388, -42.54091476118179
0.0, 1.0, 2.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.1298461785174783
0.0, 1.0, 2.0, 1.0, 0.0, 0.0, 0.0, 1.7908302192960117, 1.1499665385082392
0.0, 1.0, 2.0, 2.0, 0.0, 0.0, 0.0, 1.4789892404739322, 1.4789892404739322
0.0, 1.0, 2.0, 3.0, 0.0, 0.0, 0.0, -46.287752886891326, 0.8167079526486741
0.0, 1.0, 2.0, 4.0, 0.0, 0.0, 0.0, 52.50024195317224, -42.96804726858842
0.0, 1.0, 3.0, 0.0, 0.0, 0.0, 1.5412812195448362, 0.0, -47.62173192926159
0.0, 1.0, 3.0, 1.0, 0.0, 0.0, 0.0, 1.4694896916051103, -44.51663126600678
0.0, 1.0, 3.0, 2.0, 0.0, 0.0, 0.0, 0.8167079526486741, -46.287752886891326
0.0, 1.0, 3.0, 3.0, -9.901000000000002, 0.51506, 0.4634, -28.98001511402, -26.9744612378
0.0, 1.0, 3.0, 4.0, 0.0, 0.0, 0.0, 1.8098227743731796, -45.5922652882399
0.0, 1.0, 4.0, 0.0, 0.0, 0.0, 0.0, 0.0, 6847.122000000071
0.0, 1.0, 4.0, 1.0, -9.901000000000002, 0.0, 0.0, -42.54091476118179, 1.3954557704422388
0.0, 1.0, 4.0, 2.0, 0.0, 0.0, 0.0, -42.96804726858842, 52.50024195317224
0.0, 1.0, 4.0, 3.0, 0.0, 0.0, 0.0, -45.5922652882399, 1.8098227743731796
0.0, 1.0, 4.0, 4.0, -49.50500000000001, -47.41838447051789, -47.41838447051789, -47.65016384162681, -47.65016384162681
0.0, 2.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
0.0, 2.0, 0.0, 1.0, 1.2311141277802549, 0.0, 0.0, -40.37078212250627, 0.0
0.0, 2.0, 0.0, 2.0, 0.99086247831761, 0.0, 0.0, 49.99999504323756, 0.0
0.0, 2.0, 0.0, 3.0, 1.2205178703785355, 0.0, 0.0, 13259.987000000172, 0.0
0.0, 2.0, 0.0, 4.0, 1.5259417273574738, 0.0, 0.0, -0.9686733466943936, 0.0
0.0, 2.0, 1.0, 0.0, 1.2311141277802549, 0.0, 0.0, 0.0, -40.37078212250627
0.0, 2.0, 1.0, 1.0, 1.3452725398627545, 0.0, 0.0, -20.4755, -23.42795
0.0, 2.0, 1.0, 2.0, 1.8037971400764068, 0.0, 0.0, -0.5695327900000001, -27.8669975
0.0, 2.0, 1.0, 3.0, 1.402156642810736, 0.0, 0.0, -0.6516702383401, -41.606374450557816
0.0, 2.0, 1.0, 4.0, 1.534278180427427, 0.0, 0.0, -0.6117387387411947, -44.35303557725392
0.0, 2.0, 2.0, 0.0, 0.99086247831761, 0.0, 0.0, 0.0, 49.99999504323756
0.0, 2.0, 2.0, 1.0, 1.8037971400764068, 0.0, 0.0, -27.8669975, -0.5695327900000001
0.0, 2.0, 2.0, 2.0, -0.007175704635190007, 1.6181788536788395, 1.4553609683109556, -0.2907856440425711, -0.15380707963831405
0.0, 2.0, 2.0, 3.0, 1.160426394303466, 0.0, 0.0, 1.9835422332893706, -38.57765259490849
0.0, 2.0, 2.0, 4.0, 0.7199581242509192, 0.0, 0.0, -0.34390000000000004, 1.5623700833945247
0.0, 2.0, 3.0, 0.0, 1.2205178703785355, 0.0, 0.0, 0.0, 13259.987000000172
0.0, 2.0, 3.0, 1.0, 1.402156642810736, 0.0, 0.0, -41.606374450557816, -0.6516702383401
0.0, 2.0, 3.0, 2.0, 1.160426394303466, 0.0, 0.0, -38.57765259490849, 1.9835422332893706
0.0, 2.0, 3.0, 3.0, 1.9699999999999989, 0.0, -4.703, -47.213301353109195, -47.31230135310919
0.0, 2.0, 3.0, 4.0, 0.591585437352544, 0.0, 0.0, -41.66140915016672, 49.99999999999997
0.0, 2.0, 4.0, 0.0, 1.5259417273574738, 0.0, 0.0, 0.0, -0.9686733466943936
0.0, 2.0, 4.0, 1.0, 1.534278180427427, 0.0, 0.0, -44.35303557725392, -0.6117387387411947
0.0, 2.0, 4.0, 2.0, 0.7199581242509192, 0.0, 0.0, 1.5623700833945247, -0.34390000000000004
0.0, 2.0, 4.0, 3.0, 0.591585437352544, 0.0, 0.0, 49.99999999999997, -41.66140915016672
0.0, 2.0, 4.0, 4.0, -0.003058822791790923, 1.8065646564449185, 1.729707371720384, -0.8332281830033343, -0.8332281830033343
0.0, 3.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
0.0, 3.0, 0.0, 1.0, 0.0, 0.0, 0.0, 1.7110784883401393, 0.0
0.0, 3.0, 0.0, 2.0, 0.0, 0.0, 0.0, 4504.154000000034, 0.0
0.0, 3.0, 0.0, 3.0, 0.0, 0.0, 0.0, 52.32318733530581, 0.0
0.0, 3.0, 0.0, 4.0, 0.0, 1.5672810895865048, 0.0, -38.75650751969504, -0.0010000000000000009
0.0, 3.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.7110784883401393
0.0, 3.0, 1.0, 1.0, 1.0082614440200062, -0.1, -0.1, -0.6430921847843429, -0.6430921847843429
0.0, 3.0, 1.0, 2.0, 0.0, 0.0, 0.0, 52.1914945125595, -44.22571431894488
0.0, 3.0, 1.0, 3.0, 0.0, 0.0, 0.0, -0.4687622804924866, 1.4392846000836967
0.0, 3.0, 1.0, 4.0, 1.2282120736524276, 0.0, 0.0, -37.80014525389279, 0.2504879
0.0, 3.0, 2.0, 0.0, 0.0, 0.0, 0.0, 0.0, 4504.154000000034
0.0, 3.0, 2.0, 1.0, 0.0, 0.0, 0.0, -44.22571431894488, 52.1914945125595
0.0, 3.0, 2.0, 2.0, -0.010000000000000002, -4.901, -4.8020000000000005, -47.4858631965819, -47.52937687692371
0.0, 3.0, 2.0, 3.0, 0.0, 0.0, 0.0, -46.5929672545442, 1.7418136350167837
0.0, 3.0, 2.0, 4.0, 0.0, 0.0, 0.0, -49.11342128773206, 1.4947648805293992
0.0, 3.0, 3.0, 0.0, 0.0, 0.0, 0.0, 0.0, 52.32318733530581
0.0, 3.0, 3.0, 1.0, 0.0, 0.0, 0.0, 1.4392846000836967, -0.4687622804924866
0.0, 3.0, 3.0, 2.0, 0.0, 0.0, 0.0, 1.7418136350167837, -46.5929672545442
0.0, 3.0, 3.0, 3.0, 0.0, 0.0, 0.0, 1.0923039404000001, 1.0923039404000001
0.0, 3.0, 3.0, 4.0, 0.0, 0.0, 1.6256828365728817, -38.0415884084675, -0.607594379020054
0.0, 3.0, 4.0, 0.0, 0.0, 0.0, 1.5672810895865048, -0.0010000000000000009, -38.75650751969504
0.0, 3.0, 4.0, 1.0, 1.2282120736524276, 0.0, 0.0, 0.2504879, -37.80014525389279
0.0, 3.0, 4.0, 2.0, 0.0, 0.0, 0.0, 1.4947648805293992, -49.11342128773206
0.0, 3.0, 4.0, 3.0, 0.0, 1.6256828365728817, 0.0, -0.607594379020054, -38.0415884084675
0.0, 3.0, 4.0, 4.0, 0.0, 1.5861467917441667, 1.551168901312775, -34.123153858084756, -35.31483847227628
0.0, 4.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
0.0, 4.0, 0.0, 1.0, 0.630180985737455, 0.0, 0.0, 6433.063000000065, 0.0
0.0, 4.0, 0.0, 2.0, 0.7692526186691804, 0.0, 0.0, -38.60600341448631, 0.0
0.0, 4.0, 0.0, 3.0, 1.7612606664096777, 0.0, 0.0, -0.99695014287115, 0.0
0.0, 4.0, 0.0, 4.0, 0.31082741, 0.0, 0.0, 48.75943613172535, 0.0
