player 1, player 2, wins, losses, draws, performance player 1, performance player 2
ql_player, dummy, 79, 4, 17, 0.96, 0.21
dummy, ql_player, 55, 20, 25, 0.8, 0.45
wolf_player, dummy, 84, 7, 9, 0.93, 0.16
dummy, wolf_player, 48, 19, 33, 0.81, 0.52
dual_1_player, dummy, 66, 15, 19, 0.85, 0.34
dummy, dual_1_player, 66, 21, 13, 0.79, 0.34
dual_2_player, dummy, 63, 27, 10, 0.73, 0.37
dummy, dual_2_player, 70, 21, 9, 0.79, 0.3
ql_player, wolf_player, 51, 2, 47, 0.98, 0.49
wolf_player, ql_player, 51, 19, 30, 0.81, 0.49
ql_player, dual_1_player, 54, 15, 31, 0.85, 0.46
dual_1_player, ql_player, 37, 14, 49, 0.86, 0.63
ql_player, dual_2_player, 62, 12, 26, 0.88, 0.38
dual_2_player, ql_player, 53, 16, 31, 0.84, 0.47
wolf_player, dual_1_player, 31, 21, 48, 0.79, 0.69
dual_1_player, wolf_player, 42, 11, 47, 0.89, 0.58
wolf_player, dual_2_player, 50, 16, 34, 0.84, 0.5
dual_2_player, wolf_player, 53, 15, 32, 0.85, 0.47
dual_1_player, dual_2_player, 44, 19, 37, 0.81, 0.56
dual_2_player, dual_1_player, 61, 8, 31, 0.92, 0.39
