# AI L, AI R, O L, O R, swap, L L, L R, R R, R L
0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0
0.0, 0.0, 0.0, 2.0, 0.0, 0.0, 0.0, 0.0, 0.0
0.0, 0.0, 0.0, 3.0, 0.0, 0.0, 0.0, 0.0, 0.0
0.0, 0.0, 0.0, 4.0, 0.0, 0.0, 0.0, 0.0, 0.0
0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
0.0, 0.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0
0.0, 0.0, 1.0, 2.0, 0.0, 0.0, 0.0, 0.0, 0.0
0.0, 0.0, 1.0, 3.0, 0.0, 0.0, 0.0, 0.0, 0.0
0.0, 0.0, 1.0, 4.0, 0.0, 0.0, 0.0, 0.0, 0.0
0.0, 0.0, 2.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
0.0, 0.0, 2.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0
0.0, 0.0, 2.0, 2.0, 0.0, 0.0, 0.0, 0.0, 0.0
0.0, 0.0, 2.0, 3.0, 0.0, 0.0, 0.0, 0.0, 0.0
0.0, 0.0, 2.0, 4.0, 0.0, 0.0, 0.0, 0.0, 0.0
0.0, 0.0, 3.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
0.0, 0.0, 3.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0
0.0, 0.0, 3.0, 2.0, 0.0, 0.0, 0.0, 0.0, 0.0
0.0, 0.0, 3.0, 3.0, 0.0, 0.0, 0.0, 0.0, 0.0
0.0, 0.0, 3.0, 4.0, 0.0, 0.0, 0.0, 0.0, 0.0
0.0, 0.0, 4.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
0.0, 0.0, 4.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0
0.0, 0.0, 4.0, 2.0, 0.0, 0.0, 0.0, 0.0, 0.0
0.0, 0.0, 4.0, 3.0, 0.0, 0.0, 0.0, 0.0, 0.0
0.0, 0.0, 4.0, 4.0, 0.0, 0.0, 0.0, 0.0, 0.0
0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
0.0, 1.0, 0.0, 1.0, 0.0, 1.71828308710502, 0.0, 17.679836679153077, 0.0
0.0, 1.0, 0.0, 2.0, -4.738164705747103, -16.369736, -0.0010000000000000009, 1.332377649413376, 10.844699351662653
0.0, 1.0, 0.0, 3.0, 0.0, 9.33195602481319, 0.0, -29.60548797676892, 0.0
0.0, 1.0, 0.0, 4.0, 0.945773, -46.39202659000001, 0.0, 30.10832541528274, 0.0
0.0, 1.0, 1.0, 0.0, 0.0, 0.0, 1.71828308710502, 0.0, 17.679836679153077
0.0, 1.0, 1.0, 1.0, 0.0, -0.199558, -0.199558, 0.06627530684434801, 0.06627530684434801
0.0, 1.0, 1.0, 2.0, -9.901000000000002, -23.42795, -0.29318347, 0.5712510661286657, 2.9594330844582677
0.0, 1.0, 1.0, 3.0, -9.901000000000002, -13.0598204, 1.6221933868823082, -43.699106242112286, -15.470915229302454
0.0, 1.0, 1.0, 4.0, -15.37772048625478, -30.404539000000007, -1.3151861577503827, -48.37210525936722, -13.70094225611
0.0, 1.0, 2.0, 0.0, -4.738164705747103, -0.0010000000000000009, -16.369736, 10.844699351662653, 1.332377649413376
0.0, 1.0, 2.0, 1.0, -9.901000000000002, -0.29318347, -23.42795, 2.9594330844582677, 0.5712510661286657
0.0, 1.0, 2.0, 2.0, -9.901000000000002, -9.122090534492315, -9.122090534492315, 0.8560520338227644, 0.9805423077621663
0.0, 1.0, 2.0, 3.0, -9.573040000000002, 1.9695434850870628, -49.963625221831734, -4.148508231731884, -21.109840241934084
0.0, 1.0, 2.0, 4.0, -15.664675571132266, -60.651497384110016, -22.78658147, -24.955409607374698, -37.294630566758606
0.0, 1.0, 3.0, 0.0, 0.0, 0.0, 9.33195602481319, 0.0, -29.60548797676892
0.0, 1.0, 3.0, 1.0, -9.901000000000002, 1.6221933868823082, -13.0598204, -15.470915229302454, -43.699106242112286
0.0, 1.0, 3.0, 2.0, -9.573040000000002, -49.963625221831734, 1.9695434850870628, -21.109840241934084, -4.148508231731884
0.0, 1.0, 3.0, 3.0, 0.0, 1.4728900519982189, 1.4728900519982189, -14.148447286868457, -17.694095415886984
0.0, 1.0, 3.0, 4.0, -32.11123006000001, -55.671411308086455, -11.965188975352051, -28.614946461962205, -29.617220208920003
0.0, 1.0, 4.0, 0.0, 0.945773, 0.0, -46.39202659000001, 0.0, 30.10832541528274
0.0, 1.0, 4.0, 1.0, -15.37772048625478, -1.3151861577503827, -30.404539000000007, -13.70094225611, -48.37210525936722
0.0, 1.0, 4.0, 2.0, -15.664675571132266, -22.78658147, -60.651497384110016, -37.294630566758606, -24.955409607374698
0.0, 1.0, 4.0, 3.0, -32.11123006000001, -11.965188975352051, -55.671411308086455, -29.617220208920003, -28.614946461962205
0.0, 1.0, 4.0, 4.0, -41.96107882806812, -36.76770281128957, -36.76770281128957, -36.98045140100001, -36.98045140100001
0.0, 2.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
0.0, 2.0, 0.0, 1.0, 1.1772240594460328, 2.0140319065781567, 0.0, 31.16657705749382, 0.0
0.0, 2.0, 0.0, 2.0, 0.20599999999999996, 0.3842, 0.0, 36.74617398102623, 0.0
0.0, 2.0, 0.0, 3.0, 1.0346223574782552, -64.48734764569902, 0.0, 73.81011567017724, 0.0
0.0, 2.0, 0.0, 4.0, 0.28406444650099993, -16.335878, 0.0, -1.909173365314391, 0.4988417605469758
0.0, 2.0, 1.0, 0.0, 1.1772240594460328, 0.0, 2.0140319065781567, 0.0, 31.16657705749382
0.0, 2.0, 1.0, 1.0, 42.324361579603035, 0.0, -0.19, -35.87246623570139, -35.87246623570139
0.0, 2.0, 1.0, 2.0, -0.8587598500744773, -22.993291490000004, -12.96194, -8.854975776709, -43.92514438622793
0.0, 2.0, 1.0, 3.0, 0.41833975343023755, -26.83171, -4.4119, -13.877105842000004, -24.902144834356005
0.0, 2.0, 1.0, 4.0, 2.500521557560788, -29.24772196244, 0.0872, -16.4600887542989, -12.967361432229644
0.0, 2.0, 2.0, 0.0, 0.20599999999999996, 0.0, 0.3842, 0.0, 36.74617398102623
0.0, 2.0, 2.0, 1.0, -0.8587598500744773, -12.96194, -22.993291490000004, -43.92514438622793, -8.854975776709
0.0, 2.0, 2.0, 2.0, 0.568014265152454, 1.67689998944051, 1.8643333216005669, 0.4375266296068383, 0.4375266296068383
0.0, 2.0, 2.0, 3.0, 1.223461694744767, -18.8119, 0.007999999999999993, 0.7633073044496121, -28.6387066337162
0.0, 2.0, 2.0, 4.0, 1.5976082782023102, -13.05104, -0.19, -12.940971904289743, -0.52426313632756
0.0, 2.0, 3.0, 0.0, 1.0346223574782552, 0.0, -64.48734764569902, 0.0, 73.81011567017724
0.0, 2.0, 3.0, 1.0, 0.41833975343023755, -4.4119, -26.83171, -24.902144834356005, -13.877105842000004
0.0, 2.0, 3.0, 2.0, 1.223461694744767, 0.007999999999999993, -18.8119, -28.6387066337162, 0.7633073044496121
0.0, 2.0, 3.0, 3.0, -0.787089805825758, -18.8119, -18.8119, -37.88867434978901, -37.88867434978901
0.0, 2.0, 3.0, 4.0, 1.0306210699151221, -8.8466, -22.861900000000006, -29.9805118979, -0.6014934598458037
0.0, 2.0, 4.0, 0.0, 0.28406444650099993, 0.0, -16.335878, 0.4988417605469758, -1.909173365314391
0.0, 2.0, 4.0, 1.0, 2.500521557560788, 0.0872, -29.24772196244, -12.967361432229644, -16.4600887542989
0.0, 2.0, 4.0, 2.0, 1.5976082782023102, -0.19, -13.05104, -0.52426313632756, -12.940971904289743
0.0, 2.0, 4.0, 3.0, 1.0306210699151221, -22.861900000000006, -8.8466, -0.6014934598458037, -29.9805118979
0.0, 2.0, 4.0, 4.0, 1.480579253841482, -16.978487, -25.677837023000002, -18.4884443447, -11.206844870000001
0.0, 3.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
0.0, 3.0, 0.0, 1.0, 0.0, -36.29400928602015, 51.032464360276194, -5.711496534805888, 0.0
0.0, 3.0, 0.0, 2.0, -0.05337730000000003, -40.545585100000004, 0.0, 29.18298884737904, 0.0
0.0, 3.0, 0.0, 3.0, 0.0, 1.2876970987700005, 0.0, 39.6121421342052, 0.0
0.0, 3.0, 0.0, 4.0, -35.68521584875856, 2.5897456586782153, 0.0, -25.531051594858713, 0.0
0.0, 3.0, 1.0, 0.0, 0.0, 51.032464360276194, -36.29400928602015, 0.0, -5.711496534805888
0.0, 3.0, 1.0, 1.0, 8.750754376311736, -26.085155, -26.085155, -3.568554500430182, -3.568554500430182
0.0, 3.0, 1.0, 2.0, -0.14664912058632967, -9.901000000000002, -9.4109, -27.800341537900007, -35.17392696754128
0.0, 3.0, 1.0, 3.0, -0.0010000000000000009, 0.7182525795163208, -13.130239999999999, -0.199558, -7.24157047
0.0, 3.0, 1.0, 4.0, -4.36456238, -0.9970878287352585, -4.901, -40.87137528492177, -17.366276680032932
0.0, 3.0, 2.0, 0.0, -0.05337730000000003, 0.0, -40.545585100000004, 0.0, 29.18298884737904
0.0, 3.0, 2.0, 1.0, -0.14664912058632967, -9.4109, -9.901000000000002, -35.17392696754128, -27.800341537900007
0.0, 3.0, 2.0, 2.0, 1.7240227306655895, -56.38944153790001, -67.93961288112912, -53.25222555314161, -53.25222555314161
0.0, 3.0, 2.0, 3.0, -0.9744189228383108, -3.8652575419000006, -60.651497384110016, -6.5276803009, -50.05411690222901
0.0, 3.0, 2.0, 4.0, -16.901613883555942, -16.634170931000003, -34.049539, -22.156875550000002, -15.926159242306056
0.0, 3.0, 3.0, 0.0, 0.0, 0.0, 1.2876970987700005, 0.0, 39.6121421342052
0.0, 3.0, 3.0, 1.0, -0.0010000000000000009, -13.130239999999999, 0.7182525795163208, -7.24157047, -0.199558
0.0, 3.0, 3.0, 2.0, -0.9744189228383108, -60.651497384110016, -3.8652575419000006, -50.05411690222901, -6.5276803009
0.0, 3.0, 3.0, 3.0, 0.0, 1.6526654723909393, 1.6526654723909393, 0.34577, 0.15766999999999998
0.0, 3.0, 3.0, 4.0, -13.12777708421, -25.405525200159104, 1.89839899354221, -27.977200142, -11.421285493027353
0.0, 3.0, 4.0, 0.0, -35.68521584875856, 0.0, 2.5897456586782153, 0.0, -25.531051594858713
0.0, 3.0, 4.0, 1.0, -4.36456238, -4.901, -0.9970878287352585, -17.366276680032932, -40.87137528492177
0.0, 3.0, 4.0, 2.0, -16.901613883555942, -34.049539, -16.634170931000003, -15.926159242306056, -22.156875550000002
