# AI L, AI R, O L, O R, swap, L L, L R, R R, R L
0.0, 0.0, 0.0, 1.0, nan, nan, nan, nan, nan
0.0, 0.0, 0.0, 2.0, nan, nan, nan, nan, nan
0.0, 0.0, 0.0, 3.0, nan, nan, nan, nan, nan
0.0, 0.0, 0.0, 4.0, nan, nan, nan, nan, nan
0.0, 0.0, 1.0, 0.0, nan, nan, nan, nan, nan
0.0, 0.0, 1.0, 1.0, nan, nan, nan, nan, nan
0.0, 0.0, 1.0, 2.0, nan, nan, nan, nan, nan
0.0, 0.0, 1.0, 3.0, nan, nan, nan, nan, nan
0.0, 0.0, 1.0, 4.0, nan, nan, nan, nan, nan
0.0, 0.0, 2.0, 0.0, nan, nan, nan, nan, nan
0.0, 0.0, 2.0, 1.0, nan, nan, nan, nan, nan
0.0, 0.0, 2.0, 2.0, nan, nan, nan, nan, nan
0.0, 0.0, 2.0, 3.0, nan, nan, nan, nan, nan
0.0, 0.0, 2.0, 4.0, nan, nan, nan, nan, nan
0.0, 0.0, 3.0, 0.0, nan, nan, nan, nan, nan
0.0, 0.0, 3.0, 1.0, nan, nan, nan, nan, nan
0.0, 0.0, 3.0, 2.0, nan, nan, nan, nan, nan
0.0, 0.0, 3.0, 3.0, nan, nan, nan, nan, nan
0.0, 0.0, 3.0, 4.0, nan, nan, nan, nan, nan
0.0, 0.0, 4.0, 0.0, nan, nan, nan, nan, nan
0.0, 0.0, 4.0, 1.0, nan, nan, nan, nan, nan
0.0, 0.0, 4.0, 2.0, nan, nan, nan, nan, nan
0.0, 0.0, 4.0, 3.0, nan, nan, nan, nan, nan
0.0, 0.0, 4.0, 4.0, nan, nan, nan, nan, nan
0.0, 1.0, 0.0, 0.0, nan, nan, nan, nan, nan
0.0, 1.0, 0.0, 1.0, nan, nan, nan, 52.22679570991987, nan
0.0, 1.0, 0.0, 2.0, nan, nan, nan, 1.253058277673159, nan
0.0, 1.0, 0.0, 3.0, nan, nan, nan, -47.872524912744424, nan
0.0, 1.0, 0.0, 4.0, nan, nan, nan, 100.99, nan
0.0, 1.0, 1.0, 0.0, nan, nan, nan, nan, 52.22679570991987
0.0, 1.0, 1.0, 1.0, nan, nan, nan, 1.4948306762356254, 1.4948306762356254
0.0, 1.0, 1.0, 2.0, nan, nan, nan, 1.744396128931525, 0.8305851048169649
0.0, 1.0, 1.0, 3.0, nan, nan, nan, -47.60903514146531, 1.4175636017538102
0.0, 1.0, 1.0, 4.0, nan, nan, nan, 1.3568443101040266, -42.82863802817207
0.0, 1.0, 2.0, 0.0, nan, nan, nan, nan, 1.253058277673159
0.0, 1.0, 2.0, 1.0, nan, nan, nan, 0.8305851048169649, 1.744396128931525
0.0, 1.0, 2.0, 2.0, nan, nan, nan, 1.9371332383008932, 1.9371332383008932
0.0, 1.0, 2.0, 3.0, nan, nan, nan, -45.73970703562508, 1.2484352004603603
0.0, 1.0, 2.0, 4.0, nan, nan, nan, 52.465221109007075, -46.11449856296048
0.0, 1.0, 3.0, 0.0, nan, nan, nan, nan, -47.872524912744424
0.0, 1.0, 3.0, 1.0, nan, nan, nan, 1.4175636017538102, -47.60903514146531
0.0, 1.0, 3.0, 2.0, nan, nan, nan, 1.2484352004603603, -45.73970703562508
0.0, 1.0, 3.0, 3.0, nan, nan, nan, -47.11956393097096, -47.11956393097096
0.0, 1.0, 3.0, 4.0, nan, nan, nan, 1.4175155874408807, -45.123761283792646
0.0, 1.0, 4.0, 0.0, nan, nan, nan, nan, 100.99
0.0, 1.0, 4.0, 1.0, nan, nan, nan, -42.82863802817207, 1.3568443101040266
0.0, 1.0, 4.0, 2.0, nan, nan, nan, -46.11449856296048, 52.465221109007075
0.0, 1.0, 4.0, 3.0, nan, nan, nan, -45.123761283792646, 1.4175155874408807
0.0, 1.0, 4.0, 4.0, nan, nan, nan, -47.514106722312285, -47.514106722312285
0.0, 2.0, 0.0, 0.0, 0.0, nan, nan, nan, nan
0.0, 2.0, 0.0, 1.0, 1.7791322496000213, nan, nan, -45.891328555302046, nan
0.0, 2.0, 0.0, 2.0, 1.7713262586183074, nan, nan, 49.99999843418103, nan
0.0, 2.0, 0.0, 3.0, 1.7584243818490926, nan, nan, 100.99, nan
0.0, 2.0, 0.0, 4.0, 1.7123817771047762, nan, nan, -0.9690968456173673, nan
0.0, 2.0, 1.0, 0.0, 1.7791322496000213, nan, nan, nan, -45.891328555302046
0.0, 2.0, 1.0, 1.0, 1.9699650848931627, nan, nan, -39.70544339526755, -42.49526823515005
0.0, 2.0, 1.0, 2.0, 1.3688928908613365, nan, nan, -0.7458134171671, -44.28070489438082
0.0, 2.0, 1.0, 3.0, 2.0062255953002794, nan, nan, -0.911370618803475, -40.7348990557408
0.0, 2.0, 1.0, 4.0, 0.5858055259684064, nan, nan, -0.94185026299696, -44.691676212637795
0.0, 2.0, 2.0, 0.0, 1.7713262586183074, nan, nan, nan, 49.99999843418103
