# AI L, AI R, O L, O R, swap, L L, L R, R R, R L
0.0, 0.0, 0.0, 1.0, nan, nan, nan, nan, nan
0.0, 0.0, 0.0, 2.0, nan, nan, nan, nan, nan
0.0, 0.0, 0.0, 3.0, nan, nan, nan, nan, nan
0.0, 0.0, 0.0, 4.0, nan, nan, nan, nan, nan
0.0, 0.0, 1.0, 0.0, nan, nan, nan, nan, nan
0.0, 0.0, 1.0, 1.0, nan, nan, nan, nan, nan
0.0, 0.0, 1.0, 2.0, nan, nan, nan, nan, nan
0.0, 0.0, 1.0, 3.0, nan, nan, nan, nan, nan
0.0, 0.0, 1.0, 4.0, nan, nan, nan, nan, nan
0.0, 0.0, 2.0, 0.0, nan, nan, nan, nan, nan
0.0, 0.0, 2.0, 1.0, nan, nan, nan, nan, nan
0.0, 0.0, 2.0, 2.0, nan, nan, nan, nan, nan
0.0, 0.0, 2.0, 3.0, nan, nan, nan, nan, nan
0.0, 0.0, 2.0, 4.0, nan, nan, nan, nan, nan
0.0, 0.0, 3.0, 0.0, nan, nan, nan, nan, nan
0.0, 0.0, 3.0, 1.0, nan, nan, nan, nan, nan
0.0, 0.0, 3.0, 2.0, nan, nan, nan, nan, nan
0.0, 0.0, 3.0, 3.0, nan, nan, nan, nan, nan
0.0, 0.0, 3.0, 4.0, nan, nan, nan, nan, nan
0.0, 0.0, 4.0, 0.0, nan, nan, nan, nan, nan
0.0, 0.0, 4.0, 1.0, nan, nan, nan, nan, nan
0.0, 0.0, 4.0, 2.0, nan, nan, nan, nan, nan
0.0, 0.0, 4.0, 3.0, nan, nan, nan, nan, nan
0.0, 0.0, 4.0, 4.0, nan, nan, nan, nan, nan
0.0, 1.0, 0.0, 0.0, nan, nan, nan, nan, nan
0.0, 1.0, 0.0, 1.0, nan, nan, nan, 42.27490493191698, nan
0.0, 1.0, 0.0, 2.0, nan, nan, nan, 1.3311190816255938, nan
0.0, 1.0, 0.0, 3.0, nan, nan, nan, -47.34900190739638, nan
0.0, 1.0, 0.0, 4.0, nan, nan, nan, 95.70471225405673, nan
0.0, 1.0, 1.0, 0.0, nan, nan, nan, nan, 42.27490493191698
0.0, 1.0, 1.0, 1.0, nan, nan, nan, 1.2949219806350707, 1.2949219806350707
0.0, 1.0, 1.0, 2.0, nan, nan, nan, 0.8608797169999999, 0.19699999999999998
0.0, 1.0, 1.0, 3.0, nan, nan, nan, -42.10039566010414, 0.9267730840849387
0.0, 1.0, 1.0, 4.0, nan, nan, nan, 1.6763627574322761, -24.539509283000005
0.0, 1.0, 2.0, 0.0, nan, nan, nan, nan, 1.3311190816255938
0.0, 1.0, 2.0, 1.0, nan, nan, nan, 0.19699999999999998, 0.8608797169999999
0.0, 1.0, 2.0, 2.0, nan, nan, nan, 1.6891642967470348, 1.6891642967470348
0.0, 1.0, 2.0, 3.0, nan, nan, nan, -39.76124626336385, 1.1319935400418586
0.0, 1.0, 2.0, 4.0, nan, nan, nan, 45.43109976043385, -29.18513508611
0.0, 1.0, 3.0, 0.0, nan, nan, nan, nan, -47.34900190739638
0.0, 1.0, 3.0, 1.0, nan, nan, nan, 0.9267730840849387, -42.10039566010414
0.0, 1.0, 3.0, 2.0, nan, nan, nan, 1.1319935400418586, -39.76124626336385
0.0, 1.0, 3.0, 3.0, nan, nan, nan, -4.901, -9.0149
0.0, 1.0, 3.0, 4.0, nan, nan, nan, 0.9179805479447066, -37.78231583689908
0.0, 1.0, 4.0, 0.0, nan, nan, nan, nan, 95.70471225405673
0.0, 1.0, 4.0, 1.0, nan, nan, nan, -24.539509283000005, 1.6763627574322761
0.0, 1.0, 4.0, 2.0, nan, nan, nan, -29.18513508611, 45.43109976043385
0.0, 1.0, 4.0, 3.0, nan, nan, nan, -37.78231583689908, 0.9179805479447066
0.0, 1.0, 4.0, 4.0, nan, nan, nan, -34.18899427370057, -34.18899427370057
0.0, 2.0, 0.0, 0.0, 0.0, nan, nan, nan, nan
0.0, 2.0, 0.0, 1.0, 1.139683823391039, nan, nan, -34.17449069394419, nan
0.0, 2.0, 0.0, 2.0, 1.0824021584000003, nan, nan, 40.7348990557408, nan
0.0, 2.0, 0.0, 3.0, 1.3571787508712512, nan, nan, 99.64655076857012, nan
0.0, 2.0, 0.0, 4.0, 1.0635208312982447, nan, nan, -0.8499053647030009, nan
0.0, 2.0, 1.0, 0.0, 1.139683823391039, nan, nan, nan, -34.17449069394419
0.0, 2.0, 1.0, 1.0, 0.733171697, nan, nan, -30.62897555, -30.62897555
0.0, 2.0, 1.0, 2.0, 0.5950332863000001, nan, nan, 0.0, -16.9178
0.0, 2.0, 1.0, 3.0, 1.722635563688225, nan, nan, -0.5695327900000001, -20.4755
0.0, 2.0, 1.0, 4.0, 1.4367151658988138, nan, nan, -0.6125795110000001, -33.2871961955
0.0, 2.0, 2.0, 0.0, 1.0824021584000003, nan, nan, nan, 40.7348990557408
