# AI L, AI R, O L, O R, swap, L L, L R, R R, R L
0.0, 0.0, 0.0, 1.0, nan, nan, nan, nan, nan
0.0, 0.0, 0.0, 2.0, nan, nan, nan, nan, nan
0.0, 0.0, 0.0, 3.0, nan, nan, nan, nan, nan
0.0, 0.0, 0.0, 4.0, nan, nan, nan, nan, nan
0.0, 0.0, 1.0, 0.0, nan, nan, nan, nan, nan
0.0, 0.0, 1.0, 1.0, nan, nan, nan, nan, nan
0.0, 0.0, 1.0, 2.0, nan, nan, nan, nan, nan
0.0, 0.0, 1.0, 3.0, nan, nan, nan, nan, nan
0.0, 0.0, 1.0, 4.0, nan, nan, nan, nan, nan
0.0, 0.0, 2.0, 0.0, nan, nan, nan, nan, nan
0.0, 0.0, 2.0, 1.0, nan, nan, nan, nan, nan
0.0, 0.0, 2.0, 2.0, nan, nan, nan, nan, nan
0.0, 0.0, 2.0, 3.0, nan, nan, nan, nan, nan
0.0, 0.0, 2.0, 4.0, nan, nan, nan, nan, nan
0.0, 0.0, 3.0, 0.0, nan, nan, nan, nan, nan
0.0, 0.0, 3.0, 1.0, nan, nan, nan, nan, nan
0.0, 0.0, 3.0, 2.0, nan, nan, nan, nan, nan
0.0, 0.0, 3.0, 3.0, nan, nan, nan, nan, nan
0.0, 0.0, 3.0, 4.0, nan, nan, nan, nan, nan
0.0, 0.0, 4.0, 0.0, nan, nan, nan, nan, nan
0.0, 0.0, 4.0, 1.0, nan, nan, nan, nan, nan
0.0, 0.0, 4.0, 2.0, nan, nan, nan, nan, nan
0.0, 0.0, 4.0, 3.0, nan, nan, nan, nan, nan
0.0, 0.0, 4.0, 4.0, nan, nan, nan, nan, nan
0.0, 1.0, 0.0, 0.0, nan, nan, nan, nan, nan
0.0, 1.0, 0.0, 1.0, nan, nan, nan, 31.920266012260505, nan
0.0, 1.0, 0.0, 2.0, nan, nan, nan, 0.2672289104987251, nan
0.0, 1.0, 0.0, 3.0, nan, nan, nan, -47.35516638977652, nan
0.0, 1.0, 0.0, 4.0, nan, nan, nan, 90.42692965737764, nan
0.0, 1.0, 1.0, 0.0, nan, nan, nan, nan, 31.920266012260505
0.0, 1.0, 1.0, 1.0, nan, nan, nan, 1.3803867541027712, 1.3789090266694446
0.0, 1.0, 1.0, 2.0, nan, nan, nan, 0.7911706603137303, 0.04794688605335373
0.0, 1.0, 1.0, 3.0, nan, nan, nan, -15.813389003198308, 1.4067814890245582
0.0, 1.0, 1.0, 4.0, nan, nan, nan, 0.6727802444097457, -4.186632486334211
0.0, 1.0, 2.0, 0.0, nan, nan, nan, nan, 0.2672289104987251
0.0, 1.0, 2.0, 1.0, nan, nan, nan, 0.04794688605335373, 0.7911706603137303
0.0, 1.0, 2.0, 2.0, nan, nan, nan, 1.576585113435812, 1.576585113435812
0.0, 1.0, 2.0, 3.0, nan, nan, nan, -8.808944985940375, 1.5110488114112424
0.0, 1.0, 2.0, 4.0, nan, nan, nan, 45.11342740850826, -6.98631884632228
0.0, 1.0, 3.0, 0.0, nan, nan, nan, nan, -47.35516638977652
0.0, 1.0, 3.0, 1.0, nan, nan, nan, 1.4067814890245582, -15.813389003198308
0.0, 1.0, 3.0, 2.0, nan, nan, nan, 1.5110488114112424, -8.808944985940375
0.0, 1.0, 3.0, 3.0, nan, nan, nan, -0.58917425, -0.58917425
0.0, 1.0, 3.0, 4.0, nan, nan, nan, 0.6445492788553933, -4.316633210168981
0.0, 1.0, 4.0, 0.0, nan, nan, nan, nan, 90.42692965737764
0.0, 1.0, 4.0, 1.0, nan, nan, nan, -4.186632486334211, 0.6727802444097457
0.0, 1.0, 4.0, 2.0, nan, nan, nan, -6.98631884632228, 45.11342740850826
0.0, 1.0, 4.0, 3.0, nan, nan, nan, -4.316633210168981, 0.6445492788553933
0.0, 1.0, 4.0, 4.0, nan, nan, nan, -32.84093135325104, -32.84340635325104
0.0, 2.0, 0.0, 0.0, 0.0, nan, nan, nan, nan
0.0, 2.0, 0.0, 1.0, 1.268097103602709, nan, nan, -8.004066826367175, nan
0.0, 2.0, 0.0, 2.0, 0.07665368428703001, nan, nan, 27.979214013610807, nan
0.0, 2.0, 0.0, 3.0, 0.32617917185402373, nan, nan, 89.48945085907232, nan
0.0, 2.0, 0.0, 4.0, 1.1187783025155171, nan, nan, -0.17572529000540366, nan
0.0, 2.0, 1.0, 0.0, 1.268097103602709, nan, nan, nan, -8.004066826367175
0.0, 2.0, 1.0, 1.0, 0.12909011528819267, nan, nan, -0.8703226484375002, -0.7471906250000001
0.0, 2.0, 1.0, 2.0, 0.7714154798041889, nan, nan, -0.09328273084975539, -3.2746319796849543
0.0, 2.0, 1.0, 3.0, 0.5205100951619309, nan, nan, -0.0932827308497554, -4.087954900578104
0.0, 2.0, 1.0, 4.0, 1.2160212671602797, nan, nan, -0.08424910394099709, -4.852677871336601
0.0, 2.0, 2.0, 0.0, 0.07665368428703001, nan, nan, nan, 27.979214013610807
