# AI L, AI R, O L, O R, swap, L L, L R, R R, R L
0.0, 0.0, 0.0, 1.0, nan, nan, nan, nan, nan
0.0, 0.0, 0.0, 2.0, nan, nan, nan, nan, nan
0.0, 0.0, 0.0, 3.0, nan, nan, nan, nan, nan
0.0, 0.0, 0.0, 4.0, nan, nan, nan, nan, nan
0.0, 0.0, 1.0, 0.0, nan, nan, nan, nan, nan
0.0, 0.0, 1.0, 1.0, nan, nan, nan, nan, nan
0.0, 0.0, 1.0, 2.0, nan, nan, nan, nan, nan
0.0, 0.0, 1.0, 3.0, nan, nan, nan, nan, nan
0.0, 0.0, 1.0, 4.0, nan, nan, nan, nan, nan
0.0, 0.0, 2.0, 0.0, nan, nan, nan, nan, nan
0.0, 0.0, 2.0, 1.0, nan, nan, nan, nan, nan
0.0, 0.0, 2.0, 2.0, nan, nan, nan, nan, nan
0.0, 0.0, 2.0, 3.0, nan, nan, nan, nan, nan
0.0, 0.0, 2.0, 4.0, nan, nan, nan, nan, nan
0.0, 0.0, 3.0, 0.0, nan, nan, nan, nan, nan
0.0, 0.0, 3.0, 1.0, nan, nan, nan, nan, nan
0.0, 0.0, 3.0, 2.0, nan, nan, nan, nan, nan
0.0, 0.0, 3.0, 3.0, nan, nan, nan, nan, nan
0.0, 0.0, 3.0, 4.0, nan, nan, nan, nan, nan
0.0, 0.0, 4.0, 0.0, nan, nan, nan, nan, nan
0.0, 0.0, 4.0, 1.0, nan, nan, nan, nan, nan
0.0, 0.0, 4.0, 2.0, nan, nan, nan, nan, nan
0.0, 0.0, 4.0, 3.0, nan, nan, nan, nan, nan
0.0, 0.0, 4.0, 4.0, nan, nan, nan, nan, nan
0.0, 1.0, 0.0, 0.0, nan, nan, nan, nan, nan
0.0, 1.0, 0.0, 1.0, nan, nan, nan, 0.0, nan
0.0, 1.0, 0.0, 2.0, nan, nan, nan, 0.0, nan
0.0, 1.0, 0.0, 3.0, nan, nan, nan, 0.0, nan
0.0, 1.0, 0.0, 4.0, nan, nan, nan, 0.0, nan
0.0, 1.0, 1.0, 0.0, nan, nan, nan, nan, 14.623160000000002
0.0, 1.0, 1.0, 1.0, nan, nan, nan, 0.0, 0.0
0.0, 1.0, 1.0, 2.0, nan, nan, nan, 2.148579941690087, 0.9230612299999998
0.0, 1.0, 1.0, 3.0, nan, nan, nan, -4.703, 0.0
0.0, 1.0, 1.0, 4.0, nan, nan, nan, 0.80216, -4.703
0.0, 1.0, 2.0, 0.0, nan, nan, nan, nan, 2.9599999787940168
0.0, 1.0, 2.0, 1.0, nan, nan, nan, 0.677483, 1.7038822116184211
0.0, 1.0, 2.0, 2.0, nan, nan, nan, 1.969999923835473, 1.9608623565574226
0.0, 1.0, 2.0, 3.0, nan, nan, nan, 0.0, 0.0
0.0, 1.0, 2.0, 4.0, nan, nan, nan, 53.959999002171216, -46.980095685737844
0.0, 1.0, 3.0, 0.0, nan, nan, nan, nan, -46.039999824710044
0.0, 1.0, 3.0, 1.0, nan, nan, nan, 0.0, 0.0
0.0, 1.0, 3.0, 2.0, nan, nan, nan, 2.9389381530733045, -46.03715916386574
0.0, 1.0, 3.0, 3.0, nan, nan, nan, -33.74733889929857, -33.03694414041476
0.0, 1.0, 3.0, 4.0, nan, nan, nan, 1.017944, -12.74513
0.0, 1.0, 4.0, 0.0, nan, nan, nan, nan, 0.0
0.0, 1.0, 4.0, 1.0, nan, nan, nan, -40.455984254655164, 1.9545253205937816
0.0, 1.0, 4.0, 2.0, nan, nan, nan, -15.833155999999999, 10.064300000000001
0.0, 1.0, 4.0, 3.0, nan, nan, nan, -12.557030000000001, 1.41361381313243
0.0, 1.0, 4.0, 4.0, nan, nan, nan, -15.833155999999999, -8.9357
0.0, 2.0, 0.0, 0.0, 0.0, nan, nan, nan, nan
0.0, 2.0, 0.0, 1.0, 1.927335716941795, nan, nan, -28.4766395, nan
0.0, 2.0, 0.0, 2.0, 0.0, nan, nan, 0.0, nan
0.0, 2.0, 0.0, 3.0, 0.0, nan, nan, 0.0, nan
0.0, 2.0, 0.0, 4.0, 0.0, nan, nan, 0.0, nan
0.0, 2.0, 1.0, 0.0, -0.0010000000000000009, nan, nan, nan, -5.0
0.0, 2.0, 1.0, 1.0, 0.014829937700298113, nan, nan, -40.7348990557408, -23.42795
0.0, 2.0, 1.0, 2.0, -0.0019000000000000017, nan, nan, -0.1, -5.0
0.0, 2.0, 1.0, 3.0, 0.0, nan, nan, 0.0, -5.0
0.0, 2.0, 1.0, 4.0, 0.0, nan, nan, 0.0, 0.0
0.0, 2.0, 2.0, 0.0, -0.0010000000000000009, nan, nan, nan, 0.0
0.0, 2.0, 2.0, 1.0, 0.0, nan, nan, 0.0, 0.0
0.0, 2.0, 2.0, 2.0, 0.37050467209999993, nan, nan, 2.6064672461160825, -0.717570463519
0.0, 2.0, 2.0, 3.0, 0.56159, nan, nan, 0.0, 0.0
