# AI L, AI R, O L, O R, swap, L L, L R, R R, R L
0.0, 0.0, 0.0, 1.0, nan, nan, nan, nan, nan
0.0, 0.0, 0.0, 2.0, nan, nan, nan, nan, nan
0.0, 0.0, 0.0, 3.0, nan, nan, nan, nan, nan
0.0, 0.0, 0.0, 4.0, nan, nan, nan, nan, nan
0.0, 0.0, 1.0, 0.0, nan, nan, nan, nan, nan
0.0, 0.0, 1.0, 1.0, nan, nan, nan, nan, nan
0.0, 0.0, 1.0, 2.0, nan, nan, nan, nan, nan
0.0, 0.0, 1.0, 3.0, nan, nan, nan, nan, nan
0.0, 0.0, 1.0, 4.0, nan, nan, nan, nan, nan
0.0, 0.0, 2.0, 0.0, nan, nan, nan, nan, nan
0.0, 0.0, 2.0, 1.0, nan, nan, nan, nan, nan
0.0, 0.0, 2.0, 2.0, nan, nan, nan, nan, nan
0.0, 0.0, 2.0, 3.0, nan, nan, nan, nan, nan
0.0, 0.0, 2.0, 4.0, nan, nan, nan, nan, nan
0.0, 0.0, 3.0, 0.0, nan, nan, nan, nan, nan
0.0, 0.0, 3.0, 1.0, nan, nan, nan, nan, nan
0.0, 0.0, 3.0, 2.0, nan, nan, nan, nan, nan
0.0, 0.0, 3.0, 3.0, nan, nan, nan, nan, nan
0.0, 0.0, 3.0, 4.0, nan, nan, nan, nan, nan
0.0, 0.0, 4.0, 0.0, nan, nan, nan, nan, nan
0.0, 0.0, 4.0, 1.0, nan, nan, nan, nan, nan
0.0, 0.0, 4.0, 2.0, nan, nan, nan, nan, nan
0.0, 0.0, 4.0, 3.0, nan, nan, nan, nan, nan
0.0, 0.0, 4.0, 4.0, nan, nan, nan, nan, nan
0.0, 1.0, 0.0, 0.0, nan, nan, nan, nan, nan
0.0, 1.0, 0.0, 1.0, nan, nan, nan, 52.9699999995029, nan
0.0, 1.0, 0.0, 2.0, nan, nan, nan, 1.9699999984557226, nan
0.0, 1.0, 0.0, 3.0, nan, nan, nan, -47.02999958403519, nan
0.0, 1.0, 0.0, 4.0, nan, nan, nan, 0.0, nan
0.0, 1.0, 1.0, 0.0, nan, nan, nan, nan, 44.96099275485994
0.0, 1.0, 1.0, 1.0, nan, nan, nan, 1.9699999852913137, 1.3517931257027
0.0, 1.0, 1.0, 2.0, nan, nan, nan, 2.7882416860181443, 1.16452223
0.0, 1.0, 1.0, 3.0, nan, nan, nan, -26.7851271137, 2.9162485864933525
0.0, 1.0, 1.0, 4.0, nan, nan, nan, 2.899984343612281, -26.7851271137
0.0, 1.0, 2.0, 0.0, nan, nan, nan, nan, 2.2828469433331544
0.0, 1.0, 2.0, 1.0, nan, nan, nan, 1.9103302056118066, 0.37429999999999997
0.0, 1.0, 2.0, 2.0, nan, nan, nan, 2.959999973508245, 1.9437934945448376
0.0, 1.0, 2.0, 3.0, nan, nan, nan, -43.99135318749672, 2.959999999991636
0.0, 1.0, 2.0, 4.0, nan, nan, nan, 51.90131578952242, -16.173617
0.0, 1.0, 3.0, 0.0, nan, nan, nan, nan, -46.029941433995674
0.0, 1.0, 3.0, 1.0, nan, nan, nan, 1.41361381313243, -12.47684
0.0, 1.0, 3.0, 2.0, nan, nan, nan, 2.0609405216898695, -26.2686410447
0.0, 1.0, 3.0, 3.0, nan, nan, nan, -12.74513, -12.47684
0.0, 1.0, 3.0, 4.0, nan, nan, nan, 2.7687519760788897, -18.8538404
0.0, 1.0, 4.0, 0.0, nan, nan, nan, nan, 0.0
0.0, 1.0, 4.0, 1.0, nan, nan, nan, -15.833155999999999, 1.925619052896471
0.0, 1.0, 4.0, 2.0, nan, nan, nan, -18.8538404, 52.968436714112144
0.0, 1.0, 4.0, 3.0, nan, nan, nan, -18.990965300000003, 1.940881660605375
0.0, 1.0, 4.0, 4.0, nan, nan, nan, -45.884320716301424, -45.97048936940155
0.0, 2.0, 0.0, 0.0, 0.0, nan, nan, nan, nan
0.0, 2.0, 0.0, 1.0, 0.9799968353389023, nan, nan, -35.878523175949994, nan
0.0, 2.0, 0.0, 2.0, 1.8285740964247057, nan, nan, -0.6125795110000001, nan
0.0, 2.0, 0.0, 3.0, 0.9799999999999994, nan, nan, 0.0, nan
0.0, 2.0, 0.0, 4.0, 0.9799999999998639, nan, nan, -0.8499053647030009, nan
0.0, 2.0, 1.0, 0.0, -0.009866972053527101, nan, nan, nan, -12.47684
0.0, 2.0, 1.0, 1.0, 1.9122910231875203, nan, nan, -13.55, -9.5
0.0, 2.0, 1.0, 2.0, -0.009967031542446776, nan, nan, -0.34390000000000004, -23.42795
0.0, 2.0, 1.0, 3.0, 0.9798265749414805, nan, nan, -0.40951000000000004, -23.42795
0.0, 2.0, 1.0, 4.0, 0.9800561901337278, nan, nan, -0.8332281830033343, -20.0641253
0.0, 2.0, 2.0, 0.0, 2.959999999999905, nan, nan, nan, -0.8100486348676946
0.0, 2.0, 2.0, 1.0, 0.901749119341588, nan, nan, -13.55, -0.19
